Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
1009,	38584,	5825,	0,	18914,	0,	
2008,	72108,	10931,	0,	35418,	0,	
3005,	70642,	10712,	0,	34781,	0,	
4008,	69816,	10602,	0,	34669,	0,	
5007,	68882,	10472,	0,	34579,	0,	
6008,	69632,	10565,	0,	34780,	0,	
7010,	71563,	10837,	0,	35265,	0,	
8010,	69401,	10541,	0,	34455,	0,	
9013,	70164,	10653,	0,	34699,	0,	
10037,	72138,	10934,	0,	35211,	0,	
11033,	58158,	8090,	3300,	36571,	0,	
12034,	55004,	7600,	3189,	34816,	0,	
13035,	54017,	7493,	3020,	34541,	0,	
14036,	53451,	7415,	3069,	34144,	0,	
15037,	56635,	7835,	3290,	36733,	0,	
16039,	57496,	7940,	3357,	36287,	0,	
17041,	56901,	7907,	3258,	36852,	0,	
18040,	55643,	7695,	3177,	35977,	0,	
19041,	56767,	7889,	3255,	36516,	0,	
20057,	56658,	7766,	3336,	35191,	0,	
21057,	53314,	7392,	3608,	35819,	0,	
22079,	46425,	6368,	3286,	30689,	0,	
23060,	41623,	5677,	2963,	28533,	0,	
24060,	52236,	7150,	3641,	35610,	0,	
25060,	50487,	6919,	3495,	34873,	0,	
26062,	47008,	6421,	3214,	31467,	0,	
27063,	53304,	7316,	3693,	36155,	0,	
28064,	51410,	7049,	3566,	35086,	0,	
29065,	51277,	7033,	3549,	34840,	0,	
30107,	34315,	4672,	2570,	23499,	0,	
31117,	42005,	5138,	5246,	33704,	0,	
32113,	34456,	4207,	4345,	28598,	0,	
33112,	24273,	2954,	3169,	20529,	0,	
34116,	41534,	5060,	5357,	33573,	0,	
35117,	43043,	5241,	5501,	35050,	0,	
36118,	43574,	5294,	5603,	35506,	0,	
37119,	42847,	5240,	5392,	35098,	0,	
38118,	42653,	5221,	5326,	35226,	0,	
39122,	42944,	5218,	5484,	34736,	0,	
40123,	39778,	4805,	5325,	31921,	0,	
41123,	44706,	5488,	5524,	35851,	0,	
42122,	44442,	5459,	5451,	35450,	0,	
43126,	43016,	5239,	5538,	35731,	0,	
44128,	43162,	5247,	5517,	35182,	0,	
45126,	44067,	5393,	5485,	35932,	0,	
46126,	44441,	5427,	5597,	35766,	0,	
47128,	44774,	5443,	5672,	36013,	0,	
48129,	44292,	5395,	5651,	35983,	0,	
49129,	43533,	5285,	5660,	35589,	0,	
50131,	40294,	4861,	5372,	32650,	0,	
51132,	40443,	4757,	5996,	35308,	0,	
52135,	40190,	4686,	6069,	35497,	0,	
53136,	40181,	4674,	6067,	35079,	0,	
54137,	39157,	4551,	6032,	34814,	0,	
55138,	39022,	4517,	6089,	34909,	0,	
56139,	39354,	4593,	5975,	34706,	0,	
57140,	39784,	4641,	6016,	34976,	0,	
58140,	40779,	4772,	6119,	35280,	0,	
59141,	39892,	4622,	6228,	35823,	0,	
60146,	37084,	4270,	6084,	31808,	0,	
61143,	38149,	4330,	6645,	35754,	0,	
62144,	37668,	4233,	6725,	36196,	0,	
63145,	37159,	4170,	6686,	35897,	0,	
64146,	37670,	4249,	6655,	36010,	0,	
65147,	38227,	4310,	6732,	36055,	0,	
66148,	37558,	4215,	6717,	36104,	0,	
67150,	38432,	4343,	6744,	36251,	0,	
68151,	38045,	4297,	6687,	35818,	0,	
69152,	38657,	4353,	6827,	35636,	0,	
70152,	33869,	3765,	6421,	32429,	0,	
71153,	32610,	3383,	7585,	36711,	0,	
72154,	33247,	3500,	7503,	35653,	0,	
73155,	32839,	3401,	7665,	36203,	0,	
74156,	33472,	3493,	7652,	36478,	0,	
75158,	33373,	3503,	7510,	36303,	0,	
76158,	32901,	3435,	7602,	36101,	0,	
77159,	33582,	3520,	7592,	36407,	0,	
78160,	32775,	3413,	7521,	36145,	0,	
79162,	33036,	3469,	7458,	36128,	0,	
80162,	30266,	3096,	7369,	33061,	0,	
81163,	29462,	2836,	8305,	36186,	0,	
82165,	28957,	2769,	8278,	35839,	0,	
83165,	28818,	2744,	8283,	36346,	0,	
84166,	29333,	2838,	8149,	36111,	0,	
85168,	29305,	2824,	8208,	36093,	0,	
86169,	29122,	2796,	8245,	36152,	0,	
87170,	29399,	2827,	8289,	36201,	0,	
88171,	29419,	2845,	8256,	35735,	0,	
89171,	29409,	2837,	8251,	36124,	0,	
90173,	27231,	2558,	8130,	32194,	0,	
91174,	26147,	2214,	8883,	36376,	0,	
92176,	25697,	2167,	8787,	36387,	0,	
93176,	26590,	2276,	8918,	36463,	0,	
94178,	25755,	2147,	8911,	35910,	0,	
95179,	25315,	2123,	8816,	35757,	0,	
96180,	25794,	2174,	8894,	36214,	0,	
97180,	26236,	2237,	8869,	35691,	0,	
98182,	25790,	2183,	8692,	35637,	0,	
99184,	25578,	2138,	8875,	35888,	0,	
100183,	24064,	1971,	8727,	32081,	0,	
101184,	25994,	2214,	8822,	36164,	0,	
102185,	25664,	2165,	8785,	36371,	0,	
103186,	25358,	2106,	8896,	36264,	0,	
104187,	26136,	2221,	8927,	36451,	0,	
105190,	25847,	2168,	8931,	36291,	0,	
106191,	25681,	2131,	9022,	35873,	0,	
107193,	25373,	2139,	8744,	35238,	0,	
108194,	25383,	2123,	8785,	35670,	0,	
109195,	25192,	2091,	8852,	35424,	0,	
110195,	22934,	1802,	8751,	31646,	0,	
111196,	22057,	1535,	9609,	36220,	0,	
112198,	22069,	1529,	9617,	36242,	0,	
113200,	22241,	1563,	9571,	36040,	0,	
114200,	21989,	1538,	9569,	36221,	0,	
115200,	21926,	1513,	9575,	36825,	0,	
116202,	21334,	1474,	9374,	36292,	0,	
117202,	21259,	1482,	9233,	36014,	0,	
118204,	21933,	1510,	9561,	36332,	0,	
119204,	22189,	1551,	9626,	36546,	0,	
120205,	20142,	1331,	9298,	31903,	0,	
121207,	21853,	1531,	9434,	36016,	0,	
122208,	22175,	1548,	9497,	36134,	0,	
123209,	21489,	1464,	9570,	36165,	0,	
124210,	21868,	1503,	9584,	36020,	0,	
