Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
502,	106,	15,	0,	25,	0,	0,	
1508,	78262,	11767,	0,	13321,	0,	0,	
2515,	88892,	13419,	0,	15123,	0,	0,	
3523,	86906,	13110,	0,	14793,	0,	0,	
4531,	80430,	12061,	0,	13541,	0,	0,	
5547,	83869,	12710,	0,	14210,	0,	0,	
6558,	84498,	12738,	0,	14339,	0,	0,	
7564,	87054,	13122,	0,	14844,	0,	0,	
8579,	86581,	13053,	0,	14683,	0,	0,	
9579,	86663,	13072,	0,	14633,	0,	0,	
10594,	85781,	12930,	0,	14635,	0,	0,	
11594,	86718,	13073,	0,	14754,	0,	0,	
12608,	83265,	12554,	0,	14103,	0,	0,	
13609,	86654,	13062,	0,	14681,	0,	0,	
14611,	81680,	12315,	0,	13912,	0,	0,	
15612,	86490,	13035,	0,	14679,	0,	0,	
16612,	85239,	12847,	0,	14455,	0,	0,	
17612,	87493,	13193,	0,	14874,	0,	0,	
18618,	83196,	12551,	0,	14133,	0,	0,	
19619,	88638,	13360,	0,	15025,	0,	0,	
20620,	83452,	12578,	0,	14178,	0,	0,	
21622,	84716,	12777,	0,	14409,	0,	0,	
22639,	87150,	13144,	0,	14842,	0,	0,	
23647,	87023,	13093,	0,	14754,	0,	0,	
24652,	85027,	12844,	0,	14409,	0,	0,	
25658,	85212,	12840,	0,	14528,	0,	0,	
26673,	89614,	13513,	0,	15152,	0,	0,	
27683,	82297,	12408,	0,	13919,	0,	0,	
28696,	89182,	13443,	0,	15142,	0,	0,	
29701,	88588,	13353,	0,	15074,	0,	0,	
30712,	82954,	12502,	0,	14087,	0,	0,	
31728,	89954,	13565,	0,	15288,	0,	0,	
32734,	87957,	13260,	0,	14988,	0,	0,	
33746,	84545,	12742,	0,	14350,	0,	0,	
34746,	83177,	12536,	0,	14132,	0,	0,	
35758,	87523,	13195,	0,	14840,	0,	0,	
36761,	86024,	12969,	0,	14585,	0,	0,	
37766,	85914,	12953,	0,	14589,	0,	0,	
38778,	82144,	12390,	0,	14089,	0,	0,	
39792,	87391,	13171,	0,	14894,	0,	0,	
40802,	83026,	12511,	0,	14110,	0,	0,	
41813,	84239,	12702,	0,	14294,	0,	0,	
42813,	82503,	12430,	0,	13951,	0,	0,	
43816,	82776,	12472,	0,	14041,	0,	0,	
44816,	84905,	12799,	0,	14457,	0,	0,	
45819,	78859,	11884,	0,	13391,	0,	0,	
46819,	85920,	12951,	0,	14498,	0,	0,	
47825,	78162,	11791,	0,	13172,	0,	0,	
48825,	72492,	10938,	0,	12312,	0,	0,	
49851,	86765,	13080,	0,	14732,	0,	0,	
50859,	33398,	1854,	7414,	8031,	2434,	30,	
51862,	30723,	0,	11096,	8907,	3740,	30,	
52875,	33944,	0,	12262,	9848,	4066,	30,	
53885,	33107,	0,	12002,	9581,	3934,	30,	
54896,	34353,	0,	12347,	9867,	4048,	30,	
55899,	36591,	0,	13112,	10482,	4332,	30,	
56913,	32363,	0,	11626,	9349,	3854,	30,	
57918,	35252,	0,	12675,	10150,	4173,	30,	
58922,	35413,	0,	12737,	10220,	4184,	30,	
59930,	35931,	0,	12938,	10302,	4267,	30,	
60945,	33818,	0,	12141,	9740,	3991,	30,	
61945,	36020,	0,	12965,	10362,	4260,	30,	
62949,	36356,	0,	13067,	10455,	4305,	30,	
63958,	35174,	0,	12642,	10166,	4174,	30,	
64963,	33352,	0,	11931,	9689,	4010,	30,	
65968,	34053,	0,	12217,	9849,	4024,	30,	
66968,	36212,	0,	13027,	10452,	4282,	30,	
67968,	35921,	0,	12917,	10323,	4251,	30,	
68968,	28992,	0,	10322,	8487,	3560,	30,	
69969,	36625,	0,	13222,	10594,	4353,	30,	
70969,	35090,	0,	12647,	10131,	4152,	30,	
71973,	35128,	0,	12635,	10099,	4153,	30,	
72973,	35536,	0,	12788,	10239,	4186,	30,	
73974,	32627,	0,	11801,	9377,	3838,	30,	
74974,	35039,	0,	12585,	10108,	4129,	30,	
75975,	34627,	0,	12432,	9972,	4102,	30,	
76975,	30578,	0,	11060,	8763,	3659,	30,	
77987,	31805,	0,	11411,	9223,	3809,	30,	
78987,	32584,	0,	11769,	9488,	3884,	30,	
79987,	35562,	0,	12790,	10251,	4220,	30,	
80988,	35243,	0,	12683,	10171,	4179,	30,	
81989,	36115,	0,	12975,	10401,	4272,	30,	
82989,	35691,	0,	12828,	10262,	4227,	30,	
83990,	35318,	0,	12693,	10141,	4179,	30,	
84990,	35881,	0,	12902,	10375,	4230,	30,	
85990,	35992,	0,	12940,	10404,	4246,	30,	
86990,	35838,	0,	12880,	10390,	4248,	30,	
88025,	27567,	0,	9848,	8066,	3412,	30,	
89025,	33442,	0,	12037,	9641,	3937,	30,	
90038,	37412,	0,	13530,	10761,	4459,	30,	
91050,	35747,	0,	12858,	10304,	4212,	30,	
92050,	35085,	0,	12625,	10065,	4143,	30,	
93054,	35651,	0,	12843,	10265,	4226,	30,	
94069,	34781,	0,	12522,	10074,	4124,	30,	
95083,	37597,	0,	13504,	10825,	4439,	30,	
96098,	35800,	0,	12929,	10358,	4244,	30,	
97102,	35854,	0,	12886,	10337,	4242,	30,	
98114,	34262,	0,	12343,	9842,	4057,	30,	
99119,	35443,	0,	12754,	10200,	4208,	30,	
100132,	34088,	0,	12521,	9567,	4008,	30,	
101138,	35911,	0,	12727,	10419,	4251,	30,	
102143,	36673,	0,	13217,	10537,	4328,	30,	
103148,	36184,	0,	13019,	10400,	4274,	30,	
104163,	37336,	0,	13411,	10713,	4420,	30,	
105177,	36241,	0,	13039,	10446,	4269,	30,	
106178,	36556,	0,	13146,	10515,	4331,	30,	
107193,	36023,	0,	12952,	10422,	4242,	30,	
108201,	36182,	0,	13014,	10406,	4298,	30,	
109210,	33335,	0,	11980,	9680,	3942,	30,	
110210,	34720,	0,	12523,	10025,	4101,	30,	
111223,	32599,	0,	11714,	9442,	3856,	30,	
112237,	26363,	0,	9547,	7817,	3189,	30,	
113252,	35352,	0,	12722,	10158,	4181,	30,	
114266,	35774,	0,	12888,	10334,	4239,	30,	
115273,	34787,	0,	12525,	10109,	4126,	30,	
116283,	35432,	0,	12770,	10213,	4191,	30,	
117298,	35677,	0,	12852,	10259,	4230,	30,	
118313,	36119,	0,	12997,	10370,	4261,	30,	
119325,	36587,	0,	13196,	10535,	4312,	30,	
120332,	36204,	0,	13020,	10427,	4289,	30,	
121334,	34765,	0,	12502,	9997,	4102,	30,	
122345,	36977,	0,	13364,	10690,	4365,	30,	
123349,	34887,	0,	12519,	9987,	4128,	30,	
124365,	34493,	0,	12413,	10004,	4069,	30,	
125379,	35749,	0,	12879,	10303,	4214,	30,	
126380,	35121,	0,	12645,	10190,	4130,	30,	
127394,	34943,	0,	12547,	10053,	4137,	30,	
128394,	34442,	0,	12368,	9903,	4081,	30,	
129412,	28613,	0,	10159,	8221,	3396,	30,	
130412,	32433,	0,	11722,	9470,	3864,	30,	
131412,	37286,	0,	13425,	10730,	4417,	30,	
132441,	34129,	0,	12334,	9913,	4044,	30,	
133451,	35253,	0,	12658,	10142,	4150,	30,	
134467,	35648,	0,	12822,	10261,	4196,	30,	
135477,	35298,	0,	12712,	10187,	4167,	30,	
136483,	34798,	0,	12484,	9945,	4108,	30,	
137518,	32467,	0,	11674,	9457,	3832,	30,	
138530,	30397,	0,	10966,	8981,	3678,	30,	
139534,	35289,	0,	12669,	10159,	4187,	30,	
140545,	37217,	0,	13384,	10715,	4414,	30,	
141546,	33865,	0,	12156,	9755,	4025,	30,	
142561,	35929,	0,	12903,	10302,	4258,	30,	
143564,	35868,	0,	12884,	10316,	4242,	30,	
144578,	35828,	0,	12942,	10341,	4232,	30,	
145579,	36383,	0,	13082,	10497,	4313,	30,	
146593,	35595,	0,	12823,	10273,	4224,	30,	
147594,	37690,	0,	13553,	10794,	4449,	30,	
148609,	35608,	0,	12793,	10253,	4210,	30,	
149609,	36470,	0,	13112,	10465,	4318,	30,	
150610,	31552,	0,	11508,	9013,	3724,	30,	
151610,	35994,	0,	12948,	10364,	4259,	30,	
152613,	34591,	0,	12426,	9982,	4077,	30,	
153628,	28992,	0,	10351,	8560,	3602,	30,	
154628,	36789,	0,	13227,	10658,	4360,	30,	
155636,	35535,	0,	12761,	10360,	4238,	30,	
156636,	36751,	0,	13205,	10605,	4347,	30,	
157651,	35961,	0,	12934,	10381,	4272,	30,	
158667,	36337,	0,	13042,	10424,	4308,	30,	
159682,	35766,	0,	12881,	10372,	4227,	30,	
160698,	36085,	0,	12992,	10394,	4265,	30,	
161713,	35774,	0,	12869,	10317,	4225,	30,	
162729,	35334,	0,	12723,	10193,	4177,	30,	
163733,	35633,	0,	12808,	10224,	4209,	30,	
164745,	35929,	0,	12914,	10428,	4267,	30,	
165745,	35016,	0,	12621,	10073,	4137,	30,	
166749,	36218,	0,	13033,	10441,	4293,	30,	
167763,	34960,	0,	12573,	10086,	4124,	30,	
168776,	35531,	0,	12767,	10190,	4190,	30,	
169780,	34792,	0,	12533,	10074,	4100,	30,	
170780,	35905,	0,	12917,	10304,	4247,	30,	
171780,	36036,	0,	12964,	10360,	4258,	30,	
172780,	36370,	0,	13102,	10418,	4308,	30,	
173787,	36980,	0,	13299,	10644,	4340,	30,	
174793,	32284,	0,	11541,	9338,	3843,	30,	
175794,	36404,	0,	13102,	10543,	4305,	30,	
176809,	35191,	0,	12674,	10224,	4168,	30,	
177810,	37018,	0,	13345,	10700,	4376,	30,	
178817,	34567,	0,	12446,	9929,	4090,	30,	
179817,	35623,	0,	12798,	10236,	4202,	30,	
180819,	35942,	0,	12909,	10360,	4252,	30,	
181819,	33696,	0,	12136,	9702,	3972,	30,	
182819,	36043,	0,	12961,	10374,	4249,	30,	
183820,	33473,	0,	12005,	9603,	3940,	30,	
184821,	36523,	0,	13141,	10503,	4316,	30,	
185821,	34774,	0,	12494,	9995,	4107,	30,	
186823,	34449,	0,	12389,	9938,	4082,	30,	
187823,	36238,	0,	13028,	10487,	4292,	30,	
188824,	35477,	0,	12751,	10237,	4208,	30,	
189836,	36371,	0,	13052,	10477,	4309,	30,	
190836,	33463,	0,	12053,	9648,	3947,	30,	
191836,	35820,	0,	12852,	10277,	4241,	30,	
192852,	34811,	0,	12528,	10041,	4127,	30,	
193862,	35338,	0,	12716,	10254,	4170,	30,	
194876,	33397,	0,	11976,	9551,	3976,	30,	
195883,	33635,	0,	12125,	9735,	3965,	30,	
196902,	36600,	0,	13167,	1052
