Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
478,	8345,	1469,	0,	1813,	0,	0,	
2479,	177091,	31150,	0,	38915,	0,	0,	
4479,	182435,	32100,	0,	40080,	0,	0,	
6479,	181495,	31931,	0,	39917,	0,	0,	
8479,	181798,	31983,	0,	39941,	0,	0,	
10480,	159886,	24333,	5310,	35304,	1673,	30,	
12481,	128667,	0,	32062,	29754,	10329,	30,	
14481,	128869,	0,	32136,	29793,	10323,	30,	
16482,	127578,	0,	31755,	29497,	10212,	30,	
18482,	129029,	0,	32188,	29863,	10358,	30,	
20482,	116290,	0,	29840,	27026,	9427,	30,	
22482,	121866,	0,	32123,	29807,	10331,	30,	
24482,	121953,	0,	32106,	29850,	10340,	30,	
26483,	122037,	0,	32130,	29866,	10331,	30,	
28483,	122243,	0,	32266,	29878,	10379,	30,	
30483,	108046,	0,	29336,	26540,	9263,	30,	
32484,	113493,	0,	31292,	29069,	10070,	30,	
34485,	112287,	0,	31022,	28801,	9980,	30,	
36485,	116125,	0,	32085,	29797,	10329,	30,	
38485,	88890,	0,	24565,	22749,	7892,	30,	
40497,	85101,	0,	24458,	21707,	7620,	30,	
42497,	126911,	0,	31727,	29386,	10195,	30,	
44498,	128944,	0,	32127,	29854,	10337,	30,	
46499,	122304,	0,	30503,	28289,	9820,	30,	
48499,	129031,	0,	32141,	29887,	10336,	30,	
50500,	114314,	0,	29290,	26375,	9255,	30,	
52501,	129641,	0,	32099,	29825,	10319,	30,	
54501,	129675,	0,	32086,	29777,	10327,	30,	
56501,	122909,	0,	30475,	28283,	9805,	30,	
58501,	124843,	0,	30898,	28673,	9947,	30,	
60501,	112778,	0,	28856,	25938,	9095,	30,	
62502,	129870,	0,	32134,	29850,	10340,	30,	
64502,	129814,	0,	32113,	29835,	10332,	30,	
66503,	128825,	0,	31928,	29609,	10264,	30,	
68503,	129773,	0,	32124,	29862,	10338,	30,	
70504,	114318,	0,	29112,	26321,	9228,	30,	
72505,	129291,	0,	32042,	29724,	10293,	30,	
74505,	125996,	0,	31251,	29016,	10054,	30,	
76506,	129179,	0,	31977,	29677,	10284,	30,	
78506,	129576,	0,	32085,	29792,	10319,	30,	
80506,	114695,	0,	29225,	26314,	9234,	30,	
82507,	129919,	0,	32151,	29870,	10345,	30,	
84508,	130102,	0,	32170,	29892,	10369,	30,	
86508,	127420,	0,	31552,	29278,	10145,	30,	
88508,	124820,	0,	30932,	28683,	9942,	30,	
90508,	109646,	0,	28096,	25209,	8876,	30,	
92516,	122116,	0,	30195,	28068,	9726,	30,	
94517,	87662,	0,	21728,	20123,	6985,	30,	
96518,	125540,	0,	31067,	28857,	10003,	30,	
98520,	127151,	0,	31491,	29238,	10128,	30,	
100520,	114189,	0,	29078,	26212,	9147,	30,	
102521,	111564,	0,	27620,	25624,	8886,	30,	
104521,	128013,	0,	31678,	29420,	10210,	30,	
106522,	129666,	0,	32150,	29849,	10345,	30,	
108522,	128848,	0,	31867,	29594,	10256,	30,	
110523,	112878,	0,	28734,	25934,	9118,	30,	
112523,	129602,	0,	32063,	29802,	10317,	30,	
114525,	127844,	0,	31732,	29364,	10187,	30,	
116577,	124448,	0,	30765,	28594,	9923,	30,	
118578,	96120,	0,	23790,	22052,	7638,	30,	
120578,	114116,	0,	29126,	26226,	9190,	30,	
122580,	129082,	0,	31954,	29650,	10284,	30,	
124583,	123578,	0,	30627,	28428,	9843,	30,	
126583,	109716,	0,	27140,	25216,	8737,	30,	
128583,	130039,	0,	32176,	29881,	10356,	30,	
130584,	114924,	0,	29235,	26400,	9223,	30,	
132584,	128511,	0,	31807,	29549,	10229,	30,	
134584,	129739,	0,	32145,	29827,	10336,	30,	
136584,	130052,	0,	32237,	29867,	10364,	30,	
138584,	126519,	0,	31344,	29114,	10087,	30,	
140584,	111916,	0,	28666,	25691,	9044,	30,	
142584,	129886,	0,	32148,	29894,	10353,	30,	
144585,	126844,	0,	31412,	29141,	10096,	30,	
146586,	129336,	0,	32026,	29748,	10318,	30,	
148587,	117905,	0,	29175,	27084,	9384,	30,	
150588,	110901,	0,	28379,	25541,	8985,	30,	
152588,	129894,	0,	32136,	29916,	10335,	30,	
154607,	104070,	0,	25747,	23887,	8284,	30,	
156607,	126120,	0,	31245,	28990,	10053,	30,	
158608,	129725,	0,	32147,	29789,	10344,	30,	
160609,	112828,	0,	28844,	25992,	9092,	30,	
162609,	130209,	0,	32189,	29905,	10364,	30,	
164609,	129910,	0,	32229,	29832,	10358,	30,	
166610,	129764,	0,	32108,	29855,	10348,	30,	
168610,	130155,	0,	32181,	29871,	10352,	30,	
170611,	115708,	0,	29487,	26626,	9327,	30,	
172611,	129319,	0,	32030,	29730,	10311,	30,	
174611,	130152,	0,	32184,	29898,	10341,	30,	
176612,	130133,	0,	32218,	29913,	10381,	30,	
178612,	129816,	0,	32166,	29822,	10335,	30,	
180612,	116656,	0,	29557,	26785,	9388,	30,	
182612,	129564,	0,	32084,	29809,	10324,	30,	
184612,	130021,	0,	32160,	29862,	10341,	30,	
186613,	129867,	0,	32177,	29858,	10352,	30,	
188613,	129599,	0,	32112,	29796,	10334,	30,	
190614,	114835,	0,	29230,	26464,	9249,	30,	
192614,	130309,	0,	32215,	29939,	10372,	30,	
194615,	129860,	0,	32211,	29806,	10347,	30,	
196615,	129771,	0,	32113,	29892,	10335,	30,	
198618,	114259,	0,	28268,	26227,	9098,	30,	
200621,	93254,	0,	24332,	21475,	7583,	30,	
202621,	112912,	0,	27904,	25941,	8988,	30,	
204628,	123606,	0,	30591,	28377,	9833,	30,	
206629,	120137,	0,	29773,	27587,	9563,	30,	
208629,	99031,	0,	24526,	22823,	7892,	30,	
210909,	56755,	0,	15120,	13005,	4657,	30,	
212911,	56281,	0,	14474,	12989,	4556,	30,	
214913,	96154,	0,	23780,	22044,	7636,	30,	
216913,	78366,	0,	19395,	18002,	6253,	30,	
218916,	83262,	0,	20592,	19099,	6619,	30,	
220934,	44324,	0,	11701,	10090,	3625,	30,	
223114,	64955,	0,	16935,	14989,	5255,	30,	
225114,	48681,	0,	12064,	11145,	3873,	30,	
227114,	70650,	0,	17486,	16193,	5617,	30,	
229148,	88880,	0,	22014,	20452,	7091,	30,	
231148,	55441,	0,	14954,	12767,	4597,	30,	
233149,	125183,	0,	30951,	28770,	9971,	30,	
235149,	110218,	0,	27317,	25372,	8779,	30,	
237150,	129369,	0,	32039,	29723,	10310,	30,	
239150,	129672,	0,	32087,	29860,	10323,	30,	
241150,	115627,	0,	29411,	26522,	9323,	30,	
243153,	129260,	0,	31994,	29700,	10296,	30,	
245153,	129915,	0,	32169,	29870,	10336,	30,	
247153,	127055,	0,	31470,	29184,	10131,	30,	
249154,	130156,	0,	32176,	29933,	10363,	30,	
251155,	115001,	0,	29304,	26476,	9276,	30,	
253156,	128638,	0,	31849,	29563,	10256,	30,	
255156,	129629,	0,	32107,	29788,	10330,	30,	
257156,	130107,	0,	32256,	29926,	10362,	30,	
259157,	127136,	0,	31488,	29218,	10123,	30,	
261158,	115226,	0,	29290,	26458,	9308,	30,	
263159,	129443,	0,	32092,	29809,	10327,	30,	
265159,	129808,	0,	32109,	29800,	10326,	30,	
267160,	129869,	0,	32138,	29870,	10352,	30,	
269160,	128946,	0,	31937,	29629,	10259,	30,	
271161,	94857,	0,	24585,	21815,	7690,	30,	
273161,	129159,	0,	31988,	29687,	10295,	30,	
275161,	129702,	0,	32106,	29814,	10340,	30,	
277162,	129391,	0,	32068,	29732,	10315,	30,	
279166,	101077,	0,	25020,	23249,	8038,	30,	
281186,	94552,	0,	24481,	21529,	7651,	30,	
283186,	127936,	0,	31751,	29518,	10238,	30,	
285187,	129925,	0,	32129,	29845,	10328,	30,	
287187,	126288,	0,	31327,	29054,	10092,	30,	
