Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
584,	218,	37,	0,	44,	0,	0,	
2586,	109068,	19367,	0,	20002,	0,	0,	
4586,	120880,	21459,	0,	22193,	0,	0,	
6587,	114745,	20373,	0,	21044,	0,	0,	
8589,	112844,	20041,	0,	20715,	0,	0,	
10590,	107377,	19066,	0,	19764,	0,	0,	
12591,	112263,	19932,	0,	20585,	0,	0,	
14593,	119698,	21247,	0,	21960,	0,	0,	
16593,	114788,	20377,	0,	21087,	0,	0,	
18594,	112300,	19936,	0,	20621,	0,	0,	
20619,	67573,	11977,	0,	12365,	0,	0,	
22638,	0,	0,	0,	0,	0,	0,	
24654,	0,	0,	0,	0,	0,	0,	
26709,	0,	0,	0,	0,	0,	0,	
28712,	0,	0,	0,	0,	0,	0,	
30713,	0,	0,	0,	0,	0,	0,	
32721,	0,	0,	0,	0,	0,	0,	
34726,	0,	0,	0,	0,	0,	0,	
36730,	0,	0,	0,	0,	0,	0,	
38731,	0,	0,	0,	0,	0,	0,	
40735,	0,	0,	0,	0,	0,	0,	
42749,	0,	0,	0,	0,	0,	0,	
44750,	0,	0,	0,	0,	0,	0,	
46751,	0,	0,	0,	0,	0,	0,	
48751,	0,	0,	0,	0,	0,	0,	
50752,	0,	0,	0,	0,	0,	0,	
52753,	0,	0,	0,	0,	0,	0,	
54759,	0,	0,	0,	0,	0,	0,	
56770,	0,	0,	0,	0,	0,	0,	
58781,	0,	0,	0,	0,	0,	0,	
60784,	0,	0,	0,	0,	0,	0,	
62786,	0,	0,	0,	0,	0,	0,	
64793,	0,	0,	0,	0,	0,	0,	
66794,	0,	0,	0,	0,	0,	0,	
68794,	0,	0,	0,	0,	0,	0,	
70812,	0,	0,	0,	0,	0,	0,	
72812,	0,	0,	0,	0,	0,	0,	
74827,	0,	0,	0,	0,	0,	0,	
76841,	0,	0,	0,	0,	0,	0,	
78852,	0,	0,	0,	0,	0,	0,	
80877,	0,	0,	0,	0,	0,	0,	
82896,	0,	0,	0,	0,	0,	0,	
84901,	0,	0,	0,	0,	0,	0,	
86911,	0,	0,	0,	0,	0,	0,	
88925,	0,	0,	0,	0,	0,	0,	
90937,	0,	0,	0,	0,	0,	0,	
92949,	0,	0,	0,	0,	0,	0,	
94969,	0,	0,	0,	0,	0,	0,	
96980,	0,	0,	0,	0,	0,	0,	
98991,	0,	0,	0,	0,	0,	0,	
100995,	0,	0,	0,	0,	0,	0,	
102997,	0,	0,	0,	0,	0,	0,	
105017,	0,	0,	0,	0,	0,	0,	
107020,	0,	0,	0,	0,	0,	0,	
109031,	0,	0,	0,	0,	0,	0,	
111051,	0,	0,	0,	0,	0,	0,	
113071,	0,	0,	0,	0,	0,	0,	
115082,	0,	0,	0,	0,	0,	0,	
117085,	0,	0,	0,	0,	0,	0,	
119107,	0,	0,	0,	0,	0,	0,	
121128,	0,	0,	0,	0,	0,	0,	
123140,	0,	0,	0,	0,	0,	0,	
125152,	0,	0,	0,	0,	0,	0,	
127173,	0,	0,	0,	0,	0,	0,	
129183,	0,	0,	0,	0,	0,	0,	
131187,	0,	0,	0,	0,	0,	0,	
133207,	0,	0,	0,	0,	0,	0,	
135220,	0,	0,	0,	0,	0,	0,	
137230,	0,	0,	0,	0,	0,	0,	
139233,	0,	0,	0,	0,	0,	0,	
141243,	0,	0,	0,	0,	0,	0,	
143263,	0,	0,	0,	0,	0,	0,	
145277,	0,	0,	0,	0,	0,	0,	
147280,	0,	0,	0,	0,	0,	0,	
149300,	0,	0,	0,	0,	0,	0,	
151305,	0,	0,	0,	0,	0,	0,	
153326,	0,	0,	0,	0,	0,	0,	
155344,	0,	0,	0,	0,	0,	0,	
157357,	0,	0,	0,	0,	0,	0,	
159368,	0,	0,	0,	0,	0,	0,	
161387,	0,	0,	0,	0,	0,	0,	
163399,	0,	0,	0,	0,	0,	0,	
165402,	0,	0,	0,	0,	0,	0,	
167421,	0,	0,	0,	0,	0,	0,	
169425,	0,	0,	0,	0,	0,	0,	
171445,	0,	0,	0,	0,	0,	0,	
173466,	0,	0,	0,	0,	0,	0,	
175468,	0,	0,	0,	0,	0,	0,	
177489,	0,	0,	0,	0,	0,	0,	
179500,	0,	0,	0,	0,	0,	0,	
181520,	0,	0,	0,	0,	0,	0,	
183525,	0,	0,	0,	0,	0,	0,	
185531,	0,	0,	0,	0,	0,	0,	
187535,	0,	0,	0,	0,	0,	0,	
189540,	0,	0,	0,	0,	0,	0,	
191547,	0,	0,	0,	0,	0,	0,	
193567,	0,	0,	0,	0,	0,	0,	
195581,	0,	0,	0,	0,	0,	0,	
197596,	0,	0,	0,	0,	0,	0,	
199601,	0,	0,	0,	0,	0,	0,	
201606,	0,	0,	0,	0,	0,	0,	
203610,	0,	0,	0,	0,	0,	0,	
205615,	0,	0,	0,	0,	0,	0,	
207620,	0,	0,	0,	0,	0,	0,	
209634,	0,	0,	0,	0,	0,	0,	
211640,	0,	0,	0,	0,	0,	0,	
213645,	0,	0,	0,	0,	0,	0,	
