Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
416,	175,	30,	0,	41,	0,	0,	
2440,	67222,	11943,	0,	12320,	0,	0,	
4448,	108279,	19231,	0,	19832,	0,	0,	
6459,	96218,	17094,	0,	17646,	0,	0,	
8474,	87025,	15454,	0,	16004,	0,	0,	
10490,	78701,	13989,	0,	14421,	0,	0,	
12503,	97223,	17262,	0,	17935,	0,	0,	
14509,	89938,	15974,	0,	16470,	0,	0,	
16513,	120130,	21348,	0,	22082,	0,	0,	
18522,	114715,	20379,	0,	21075,	0,	0,	
20525,	117378,	20850,	0,	21564,	0,	0,	
22530,	119061,	21157,	0,	21850,	0,	0,	
24537,	118925,	21135,	0,	21837,	0,	0,	
26548,	120430,	21398,	0,	22102,	0,	0,	
28560,	118432,	21048,	0,	21749,	0,	0,	
30579,	121651,	21619,	0,	22340,	0,	0,	
32580,	116410,	20685,	0,	21378,	0,	0,	
34582,	117749,	20922,	0,	21630,	0,	0,	
36595,	119944,	21314,	0,	22044,	0,	0,	
38596,	119981,	21320,	0,	22019,	0,	0,	
40610,	120334,	21384,	0,	22076,	0,	0,	
42625,	118378,	21037,	0,	21762,	0,	0,	
44640,	121159,	21531,	0,	22216,	0,	0,	
46648,	120004,	21322,	0,	22048,	0,	0,	
48648,	119312,	21205,	0,	21945,	0,	0,	
50649,	120108,	21344,	0,	22048,	0,	0,	
52649,	119447,	21223,	0,	21961,	0,	0,	
54649,	117359,	20861,	0,	21575,	0,	0,	
56655,	119543,	21241,	0,	21932,	0,	0,	
58660,	120178,	21354,	0,	22091,	0,	0,	
60665,	119104,	21157,	0,	21840,	0,	0,	
62671,	118645,	21079,	0,	21758,	0,	0,	
64673,	120485,	21407,	0,	22146,	0,	0,	
66676,	118995,	21148,	0,	21862,	0,	0,	
68683,	119023,	21156,	0,	21859,	0,	0,	
70691,	120137,	21348,	0,	22068,	0,	0,	
72704,	121326,	21557,	0,	22302,	0,	0,	
74724,	121341,	21563,	0,	22279,	0,	0,	
76726,	118833,	21115,	0,	21844,	0,	0,	
78741,	119973,	21322,	0,	22048,	0,	0,	
80755,	121256,	21553,	0,	22256,	0,	0,	
82769,	118962,	21137,	0,	21863,	0,	0,	
84772,	120398,	21399,	0,	22125,	0,	0,	
86774,	120239,	21373,	0,	22077,	0,	0,	
88777,	120221,	21359,	0,	22071,	0,	0,	
90791,	120763,	21470,	0,	22215,	0,	0,	
92805,	121601,	21601,	0,	22354,	0,	0,	
94805,	120785,	21467,	0,	22149,	0,	0,	
96827,	119442,	21221,	0,	21971,	0,	0,	
98832,	120105,	21337,	0,	22026,	0,	0,	
100833,	118973,	21139,	0,	21826,	0,	0,	
102839,	119068,	21153,	0,	21869,	0,	0,	
104852,	120466,	21412,	0,	22136,	0,	0,	
106866,	120285,	21382,	0,	22129,	0,	0,	
108879,	120852,	21474,	0,	22150,	0,	0,	
110894,	120682,	21442,	0,	22195,	0,	0,	
112907,	120903,	21488,	0,	22237,	0,	0,	
114927,	120715,	21450,	0,	22193,	0,	0,	
116942,	120480,	21414,	0,	22112,	0,	0,	
118943,	119959,	21314,	0,	22031,	0,	0,	
120959,	119674,	21263,	0,	21993,	0,	0,	
122973,	120649,	21437,	0,	22182,	0,	0,	
124978,	119755,	21283,	0,	21978,	0,	0,	
126983,	118643,	21084,	0,	21812,	0,	0,	
128996,	120296,	21373,	0,	22060,	0,	0,	
131009,	120701,	21455,	0,	22195,	0,	0,	
133029,	120411,	21397,	0,	22129,	0,	0,	
135044,	119748,	21281,	0,	21986,	0,	0,	
137057,	121746,	21641,	0,	22387,	0,	0,	
139061,	118722,	21096,	0,	21794,	0,	0,	
141074,	120635,	21439,	0,	22196,	0,	0,	
143075,	120135,	21349,	0,	22063,	0,	0,	
145076,	117716,	20916,	0,	21612,	0,	0,	
