Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
235,	145,	4,	0,	2,	0,	
1252,	2627,	375,	0,	1172,	0,	
2253,	2779,	439,	0,	1403,	0,	
3253,	2351,	364,	0,	1118,	0,	
4254,	2347,	376,	0,	1198,	0,	
5254,	2368,	364,	0,	1120,	0,	
6260,	2074,	344,	0,	976,	0,	
7272,	1913,	288,	0,	707,	0,	
8272,	1827,	297,	0,	784,	0,	
9273,	1811,	276,	0,	849,	0,	
10274,	2472,	398,	0,	1107,	0,	
11274,	2392,	366,	0,	1057,	0,	
12275,	2115,	348,	0,	1046,	0,	
13275,	2447,	374,	0,	1124,	0,	
14276,	2298,	362,	0,	999,	0,	
15276,	2442,	377,	0,	1111,	0,	
16277,	2529,	399,	0,	1048,	0,	
17278,	2074,	325,	0,	974,	0,	
18294,	2514,	397,	0,	1120,	0,	
19309,	2621,	413,	0,	1153,	0,	
20309,	2215,	363,	0,	976,	0,	
21310,	2180,	331,	0,	1092,	0,	
22310,	2672,	415,	0,	1246,	0,	
23311,	2075,	322,	0,	986,	0,	
24311,	1793,	310,	0,	970,	0,	
25312,	2005,	303,	0,	1030,	0,	
26313,	2845,	455,	0,	1455,	0,	
27314,	1788,	292,	0,	895,	0,	
28314,	2051,	329,	0,	1114,	0,	
29315,	2071,	325,	0,	987,	0,	
30315,	1848,	290,	0,	912,	0,	
31316,	1933,	312,	0,	1023,	0,	
32316,	2091,	332,	0,	1013,	0,	
33332,	1681,	267,	0,	788,	0,	
34332,	2718,	427,	0,	1271,	0,	
35333,	2493,	390,	0,	1251,	0,	
36333,	2489,	382,	0,	1230,	0,	
37334,	2052,	331,	0,	1018,	0,	
38335,	2542,	413,	0,	1412,	0,	
39336,	1924,	308,	0,	969,	0,	
40337,	1847,	294,	0,	990,	0,	
41338,	2105,	321,	0,	1134,	0,	
42338,	2324,	373,	0,	1221,	0,	
43339,	1872,	289,	0,	969,	0,	
44340,	1788,	279,	0,	931,	0,	
45340,	2850,	431,	0,	1226,	0,	
46341,	2464,	390,	0,	1132,	0,	
47342,	1365,	239,	0,	762,	0,	
48343,	2095,	329,	0,	1175,	0,	
49343,	2100,	339,	0,	1174,	0,	
50343,	1830,	269,	79,	1097,	11,	
51344,	1407,	1,	469,	1154,	56,	
52344,	1525,	0,	508,	1176,	63,	
53345,	1172,	0,	425,	940,	31,	
54361,	1685,	0,	540,	1158,	47,	
55370,	1494,	0,	502,	1063,	50,	
56387,	1351,	0,	454,	821,	47,	
57387,	1178,	0,	421,	1017,	67,	
58391,	1261,	0,	429,	1005,	54,	
59410,	1370,	0,	459,	983,	53,	
60411,	1465,	0,	478,	1144,	38,	
61411,	1259,	0,	436,	938,	61,	
62412,	1304,	0,	452,	1141,	62,	
63413,	1194,	0,	406,	923,	31,	
64413,	1154,	0,	394,	749,	35,	
65413,	1064,	0,	403,	1048,	35,	
66414,	1179,	0,	422,	1045,	41,	
67414,	1449,	0,	473,	948,	46,	
68415,	1337,	0,	462,	1131,	62,	
69415,	1199,	0,	405,	995,	39,	
70416,	1365,	0,	458,	1056,	33,	
71416,	1398,	0,	458,	1094,	25,	
72416,	1149,	0,	416,	957,	44,	
73417,	1077,	0,	377,	742,	29,	
74418,	1437,	0,	479,	1041,	69,	
75418,	1538,	0,	483,	1025,	46,	
76434,	1210,	0,	412,	971,	29,	
77434,	1032,	0,	373,	824,	36,	
78435,	1382,	0,	468,	1077,	64,	
79436,	1422,	0,	477,	1223,	75,	
80436,	1319,	0,	418,	944,	36,	
81436,	1490,	0,	472,	1124,	43,	
82437,	1299,	0,	410,	1004,	35,	
83438,	1295,	0,	432,	1068,	46,	
84453,	1765,	0,	555,	1491,	69,	
85469,	1227,	0,	404,	885,	39,	
86469,	1516,	0,	491,	1115,	41,	
87470,	1395,	0,	464,	1116,	31,	
88471,	1421,	0,	467,	1065,	54,	
89486,	1209,	0,	421,	1014,	48,	
90487,	1189,	0,	395,	966,	47,	
91487,	1151,	0,	383,	878,	41,	
92505,	1429,	0,	457,	1012,	50,	
93510,	1269,	0,	435,	952,	40,	
94525,	1680,	0,	534,	948,	56,	
95525,	1147,	0,	396,	1087,	39,	
96526,	1154,	0,	369,	928,	56,	
97542,	1192,	0,	387,	899,	49,	
98551,	1527,	0,	504,	1266,	59,	
99568,	1256,	0,	423,	942,	63,	
100568,	1212,	0,	391,	1121,	48,	
101583,	1411,	0,	487,	1194,	63,	
102584,	1575,	0,	496,	1335,	44,	
103584,	1150,	0,	387,	989,	27,	
104599,	1310,	0,	419,	1045,	41,	
105604,	1274,	0,	421,	1133,	54,	
106618,	1701,	0,	508,	838,	60,	
107630,	1664,	0,	544,	1811,	45,	
108630,	1378,	0,	438,	1107,	47,	
109630,	1376,	0,	434,	1002,	43,	
110631,	1444,	0,	475,	1088,	51,	
111633,	1510,	0,	480,	1121,	43,	
112648,	1253,	0,	443,	1021,	27,	
113649,	1835,	0,	567,	1332,	49,	
114655,	1387,	0,	437,	1086,	72,	
115669,	1267,	0,	416,	1148,	51,	
116687,	1454,	0,	484,	1241,	38,	
117688,	1585,	0,	505,	1313,	42,	
118688,	1492,	0,	465,	1161,	31,	
119689,	1286,	0,	447,	1168,	41,	
120690,	1429,	0,	469,	1211,	43,	
121690,	985,	0,	336,	868,	30,	
122691,	1036,	0,	370,	794,	31,	
123691,	1094,	0,	364,	817,	50,	
124706,	1548,	0,	491,	1035,	58,	
125707,	1275,	0,	430,	995,	36,	
126708,	1271,	0,	410,	903,	30,	
127709,	1729,	0,	547,	1263,	85,	
128710,	1639,	0,	518,	1328,	66,	
129711,	1486,	0,	502,	1072,	42,	
130714,	1326,	0,	423,	943,	36,	
131727,	1478,	0,	515,	1192,	32,	
132728,	1203,	0,	417,	959,	42,	
133729,	1391,	0,	458,	1139,	47,	
134729,	1060,	0,	380,	880,	26,	
135729,	1126,	0,	398,	904,	34,	
136730,	1282,	0,	411,	956,	32,	
137730,	1302,	0,	434,	1130,	35,	
138732,	1218,	0,	424,	927,	24,	
139732,	1109,	0,	363,	739,	27,	
140732,	1425,	0,	484,	1094,	54,	
141732,	1724,	0,	509,	1230,	49,	
142732,	1448,	0,	469,	1125,	55,	
143734,	1788,	0,	565,	1276,	75,	
144735,	1910,	0,	592,	1644,	109,	
145735,	1431,	0,	475,	1119,	62,	
146735,	1470,	0,	478,	1162,	48,	
147736,	1671,	0,	535,	1299,	49,	
148736,	1552,	0,	478,	1167,	52,	
149737,	1554,	0,	513,	1232,	41,	
150738,	1206,	0,	412,	929,	43,	
151738,	1295,	0,	411,	987,	47,	
152739,	1506,	0,	486,	1223,	46,	
153740,	1348,	0,	449,	1041,	47,	
154740,	1340,	0,	423,	947,	62,	
155741,	1378,	0,	461,	1137,	40,	
156742,	1399,	0,	458,	1191,	42,	
157742,	1196,	0,	413,	1023,	44,	
158743,	1493,	0,	492,	1229,	46,	
159744,	1422,	0,	499,	1107,	49,	
160744,	1653,	0,	533,	1378,	74,	
161744,	1343,	0,	471,	1169,	61,	
162745,	1413,	0,	464,	1109,	55,	
163745,	1540,	0,	499,	1155,	41,	
164745,	1228,	0,	425,	1056,	52,	
165746,	1378,	0,	462,	1204,	75,	
166747,	1255,	0,	409,	924,	27,	
167747,	1051,	0,	376,	837,	35,	
168747,	1442,	0,	451,	1136,	39,	
169748,	1834,	0,	575,	1397,	54,	
170748,	1464,	0,	481,	988,	31,	
171749,	1518,	0,	469,	1041,	35,	
172749,	1419,	0,	466,	993,	32,	
173749,	1173,	0,	396,	829,	20,	
174750,	1294,	0,	406,	870,	36,	
175751,	1400,	0,	463,	1026,	43,	
176752,	1292,	0,	411,	1028,	51,	
177752,	1482,	0,	484,	1066,	33,	
178768,	1341,	0,	452,	999,	42,	
179768,	1128,	0,	394,	890,	51,	
180769,	1104,	0,	413,	920,	46,	
181784,	1179,	0,	394,	984,	53,	
182803,	1135,	0,	399,	998,	41,	
183821,	1318,	0,	455,	1162,	63,	
184835,	1259,	0,	430,	1116,	67,	
185854,	1359,	0,	447,	1021,	71,	
186872,	1707,	0,	533,	1306,	80,	
187873,	1487,	0,	478,	1438,	65,	
188873,	1322,	0,	457,	1087,	62,	
189873,	1646,	0,	530,	1302,	64,	
190892,	1357,	0,	459,	1028,	58,	
191904,	1223,	0,	422,	974,	46,	
192906,	1081,	0,	379,	866,	39,	
193921,	1425,	0,	481,	1062,	45,	
194922,	1533,	0,	518,	1171,	59,	
195922,	1402,	0,	451,	1160,	46,	
196923,	1557,	0,	524,	1208,	44,	
197923,	1154,	0,	390,	921,	35,	
198944,	1467,	0,	485,	1068,	77,	
199959,	1705,	0,	551,	1280,	86,	
200978,	1555,	0,	520,	1218,	75,	
201982,	1999,	0,	627,	1434,	87,	
202994,	1512,	0,	510,	1153,	39,	
203994,	1556,	0,	486,	1140,	56,	
204995,	1361,	0,	461,	1019,	30,	
205995,	1189,	0,	405,	916,	22,	
207000,	1297,	0,	424,	1032,	24,	
208015,	1668,	0,	529,	1229,	35,	
209030,	1225,	0,	409,	954,	43,	
210031,	1257,	0,	425,	934,	42,	
211031,	1711,	0,	554,	1273,	92,	
212031,	1297,	0,	417,	979,	58,	
213032,	1300,	0,	436,	1022,	57,	
214047,	1570,	0,	524,	1255,	76,	
215051,	1289,	0,	427,	1122,	64,	
216070,	1470,	0,	486,	1223,	47,	
217074,	1644,	0,	524,	1310,	44,	
218080,	1488,	0,	490,	1166,	46,	
219082,	1360,	0,	445,	968,	34,	
220083,	1326,	0,	445,	959,	51,	
221088,	1617,	0,	521,	1201,	56,	
222089,	1621,	0,	535,	1331,	76,	
223091,	1442,	0,	474,	1203,	57,	
224093,	1304,	0,	430,	1127,	58,	
225108,	1712,	0,	535,	1560,	63,	
226108,	1603,	0,	479,	1317,	64,	
227123,	1464,	0,	505,	1247,	49,	
228142,	1161,	0,	394,	1055,	45,	
229147,	1225,	0,	392,	830,	33,	
230152,	1610,	0,	503,	1146,	33,	
231157,	1829,	0,	583,	1321,	60,	
232161,	1664,	0,	560,	1532,	69,	
233164,	1471,	0,	468,	1173,	47,	
234165,	1523,	0,	497,	1118,	45,	
235183,	1357,	0,	439,	1071,	24,	
236199,	1234,	0,	427,	1053,	43,	
237200,	1035,	0,	358,	848,	47,	
238200,	1239,	0,	429,	982,	36,	
239200,	1333,	0,	437,	990,	19,	
240202,	1496,	0,	487,	1126,	31,	
241202,	1695,	0,	554,	1253,	26,	
242202,	1313,	0,	452,	1138,	28,	
243203,	1515,	0,	491,	1181,	45,	
244204,	1460,	0,	484,	1087,	33,	
245204,	1334,	0,	442,	1034,	39,	
246209,	1513,	0,	503,	1220,	47,	
247221,	1279,	0,	439,	933,	44,	
248227,	1401,	0,	461,	1176,	31,	
249238,	1551,	0,	521,	1245,	77,	
250238,	1021,	0,	341,	829,	27,	
251238,	1177,	0,	393,	905,	37,	
252239,	1569,	0,	483,	1090,	56,	
253242,	1156,	0,	419,	962,	21,	
254256,	1304,	0,	428,	992,	33,	
255257,	1302,	0,	450,	954,	44,	
256257,	1384,	0,	447,	1063,	76,	
257257,	1325,	0,	459,	1034,	60,	
258261,	1407,	0,	455,	1199,	59,	
259274,	1217,	0,	412,	916,	51,	
260274,	1689,	0,	561,	1277,	63,	
261275,	1548,	0,	502,	1201,	36,	
262275,	1249,	0,	405,	1069,	48,	
263275,	1475,	0,	466,	1293,	70,	
264276,	1673,	0,	538,	1483,	79,	
265276,	1531,	0,	498,	1226,	76,	
266277,	1455,	0,	471,	1291,	73,	
267277,	1516,	0,	476,	1118,	37,	
268278,	1591,	0,	511,	1259,	77,	
269278,	1813,	0,	558,	1394,	81,	
270279,	1498,	0,	509,	1315,	64,	
271280,	1445,	0,	457,	1379,	60,	
272280,	1328,	0,	439,	1218,	32,	
273299,	1388,	0,	439,	1102,	38,	
274317,	1473,	0,	489,	1229,	59,	
275332,	1755,	0,	541,	1434,	48,	
276334,	1880,	0,	558,	1317,	62,	
277349,	1666,	0,	517,	1319,	68,	
278350,	1536,	0,	496,	1341,	76,	
279365,	1705,	0,	553,	1407,	85,	
280365,	1477,	0,	461,	1117,	44,	
281366,	1703,	0,	552,	1293,	48,	
282366,	1131,	0,	378,	976,	33,	
283367,	1880,	0,	577,	1329,	74,	
284367,	1454,	0,	479,	1124,	67,	
285368,	1257,	0,	414,	994,	35,	
286369,	1079,	0,	369,	854,	31,	
287370,	1097,	0,	393,	989,	51,	
288370,	1019,	0,	355,	808,	28,	
289371,	1261,	0,	425,	962,	37,	
290371,	1917,	0,	560,	1596,	90,	
291386,	1873,	0,	566,	1558,	84,	
292387,	1748,	0,	578,	1401,	80,	
293387,	1370,	0,	461,	1054,	58,	
294387,	1913,	0,	577,	1491,	84,	
295387,	1473,	0,	490,	1255,	70,	
296388,	1363,	0,	447,	1191,	53,	
297388,	1469,	0,	478,	1313,	49,	
298389,	1262,	0,	403,	811,	40,	
299390,	1464,	0,	484,	1243,	62,	
300391,	1191,	0,	402,	941,	39,	
301391,	1365,	0,	453,	1128,	41,	
302413,	1266,	0,	437,	1088,	38,	
303430,	1389,	0,	474,	1145,	66,	
304445,	1187,	0,	413,	967,	44,	
305446,	1168,	0,	388,	1050,	41,	
306446,	1091,	0,	378,	866,	39,	
307462,	1172,	0,	393,	959,	21,	
308463,	1210,	0,	409,	979,	43,	
309463,	1168,	0,	403,	842,	33,	
310464,	1491,	0,	475,	1167,	53,	
311465,	1640,	0,	535,	1203,	49,	
312466,	1379,	0,	454,	1176,	41,	
313466,	1171,	0,	401,	811,	33,	
314467,	1205,	0,	414,	917,	54,	
315468,	1290,	0,	420,	1042,	47,	
316468,	1541,	0,	471,	1143,	49,	
317468,	1745,	0,	560,	1449,	62,	
318469,	1242,	0,	432,	904,	25,	
319469,	1161,	0,	369,	770,	32,	
320469,	1139,	0,	399,	948,	41,	
321470,	1546,	0,	511,	1102,	49,	
322471,	1448,	0,	488,	1168,	56,	
323471,	1011,	0,	353,	765,	23,	
324487,	1279,	0,	409,	965,	60,	
325487,	1220,	0,	406,	910,	33,	
