Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
85,	31,	0,	0,	0,	0,	
1085,	753,	106,	0,	426,	0,	
2100,	1146,	157,	0,	560,	0,	
3102,	1105,	190,	0,	631,	0,	
4102,	865,	132,	0,	583,	0,	
5102,	1009,	147,	0,	542,	0,	
6103,	955,	151,	0,	601,	0,	
7104,	741,	115,	0,	477,	0,	
8104,	768,	122,	0,	496,	0,	
9104,	780,	117,	0,	399,	0,	
10105,	817,	120,	0,	362,	0,	
11105,	905,	147,	0,	495,	0,	
12106,	717,	110,	0,	397,	0,	
13106,	903,	142,	0,	460,	0,	
14107,	869,	137,	0,	543,	0,	
15127,	822,	123,	0,	461,	0,	
16144,	861,	133,	0,	451,	0,	
17146,	1034,	156,	0,	496,	0,	
18147,	811,	132,	0,	545,	0,	
19162,	731,	118,	0,	475,	0,	
20163,	660,	101,	0,	489,	0,	
21163,	751,	118,	0,	541,	0,	
22163,	587,	92,	0,	475,	0,	
23164,	589,	91,	0,	488,	0,	
24165,	468,	72,	0,	357,	0,	
25166,	667,	102,	0,	438,	0,	
26166,	802,	133,	0,	473,	0,	
27166,	817,	116,	0,	441,	0,	
28173,	1280,	185,	0,	554,	0,	
29189,	856,	144,	0,	492,	0,	
30199,	609,	93,	0,	366,	0,	
31200,	1029,	157,	0,	632,	0,	
32215,	796,	128,	0,	450,	0,	
33228,	906,	134,	0,	404,	0,	
34237,	770,	123,	0,	439,	0,	
35254,	1063,	165,	0,	592,	0,	
36254,	705,	105,	0,	390,	0,	
37255,	755,	114,	0,	343,	0,	
38255,	1176,	179,	0,	597,	0,	
39256,	1094,	161,	0,	484,	0,	
40256,	1207,	190,	0,	552,	0,	
41271,	923,	131,	0,	390,	0,	
42272,	1261,	203,	0,	618,	0,	
43272,	678,	110,	0,	444,	0,	
44277,	723,	107,	0,	454,	0,	
45282,	629,	108,	0,	455,	0,	
46290,	664,	104,	0,	422,	0,	
47291,	717,	103,	0,	422,	0,	
48292,	815,	127,	0,	512,	0,	
49293,	796,	118,	0,	433,	0,	
50293,	1011,	152,	94,	586,	0,	
51293,	810,	9,	722,	643,	0,	
52294,	814,	0,	769,	693,	0,	
53296,	701,	0,	646,	540,	0,	
54298,	713,	0,	689,	652,	0,	
55302,	716,	0,	679,	544,	0,	
56310,	721,	0,	701,	482,	0,	
57310,	695,	0,	663,	539,	0,	
58323,	843,	0,	776,	622,	0,	
59341,	791,	0,	738,	559,	0,	
