Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
84,	50,	9,	0,	22,	0,	0,	
2092,	3000,	540,	0,	1320,	0,	0,	
4099,	3000,	540,	0,	1319,	0,	0,	
6106,	3000,	539,	0,	1321,	0,	0,	
8114,	3000,	541,	0,	1320,	0,	0,	
10121,	2999,	540,	0,	1320,	0,	0,	
12127,	2999,	540,	0,	1320,	0,	0,	
14133,	3000,	540,	0,	1320,	0,	0,	
16139,	2999,	540,	0,	1320,	0,	0,	
18144,	3000,	540,	0,	1319,	0,	0,	
20150,	2975,	536,	4,	1321,	0,	1,	
22156,	2637,	480,	60,	1320,	0,	1,	
24163,	2639,	480,	60,	1320,	0,	1,	
26168,	2639,	480,	60,	1320,	0,	1,	
28174,	2640,	480,	60,	1320,	0,	1,	
30179,	2638,	480,	60,	1319,	0,	1,	
32185,	2640,	480,	60,	1320,	0,	1,	
34193,	2639,	480,	60,	1321,	0,	1,	
36200,	2640,	480,	60,	1320,	0,	1,	
38208,	2640,	479,	60,	1320,	0,	1,	
40215,	2589,	471,	70,	1320,	0,	3,	
42222,	2039,	360,	180,	1320,	0,	3,	
44229,	2039,	360,	180,	1320,	0,	3,	
46238,	2040,	360,	180,	1320,	0,	3,	
48246,	2040,	360,	180,	1320,	0,	3,	
50254,	2040,	360,	180,	1319,	0,	3,	
52262,	2039,	360,	180,	1321,	0,	3,	
54270,	2040,	360,	180,	1318,	0,	3,	
56278,	2040,	360,	180,	1322,	0,	3,	
58285,	2039,	360,	180,	1320,	0,	3,	
60293,	2039,	360,	180,	1320,	0,	3,	
62301,	2040,	360,	180,	1320,	0,	3,	
64308,	2040,	360,	180,	1320,	0,	3,	
66316,	2040,	360,	180,	1320,	0,	3,	
68324,	2039,	360,	180,	1320,	0,	3,	
70331,	2039,	360,	180,	1319,	0,	3,	
72338,	2040,	360,	180,	1321,	0,	3,	
74345,	2039,	360,	180,	1319,	0,	3,	
76352,	2039,	360,	180,	1321,	0,	3,	
78360,	2040,	360,	180,	1320,	0,	3,	
80369,	1920,	340,	200,	1320,	0,	5,	
82376,	1320,	240,	300,	1319,	0,	5,	
84383,	1318,	240,	300,	1320,	0,	5,	
86390,	1320,	240,	299,	1321,	0,	5,	
88397,	1320,	240,	300,	1319,	0,	5,	
90405,	1320,	240,	300,	1321,	0,	5,	
92413,	1320,	240,	300,	1319,	0,	5,	
94422,	1320,	240,	300,	1320,	0,	5,	
96430,	1319,	240,	300,	1321,	0,	5,	
98438,	1318,	240,	299,	1319,	0,	5,	
100446,	1318,	240,	300,	1320,	0,	5,	
102454,	1320,	240,	300,	1320,	0,	5,	
104461,	1320,	240,	300,	1321,	0,	5,	
106468,	1320,	240,	300,	1320,	0,	5,	
108475,	1319,	240,	300,	1320,	0,	5,	
110484,	1320,	239,	300,	1320,	0,	5,	
112492,	1320,	241,	300,	1319,	0,	5,	
114500,	1320,	240,	300,	1320,	0,	5,	
116508,	1320,	240,	300,	1321,	0,	5,	
118515,	1320,	240,	300,	1320,	0,	5,	
120523,	1242,	226,	313,	1320,	0,	6,	
122531,	960,	181,	360,	1319,	0,	6,	
124539,	960,	180,	360,	1320,	0,	6,	
126548,	960,	180,	360,	1320,	0,	6,	
128556,	960,	180,	360,	1321,	0,	6,	
130565,	960,	180,	360,	1320,	0,	6,	
132573,	960,	180,	360,	1320,	0,	6,	
134580,	960,	179,	360,	1320,	0,	6,	
136587,	960,	180,	360,	1320,	0,	6,	
138595,	960,	181,	360,	1320,	0,	6,	
140601,	960,	180,	360,	1319,	0,	6,	
142608,	960,	180,	360,	1321,	0,	6,	
144617,	960,	180,	360,	1319,	0,	6,	
146625,	960,	180,	360,	1321,	0,	6,	
148632,	960,	180,	360,	1320,	0,	6,	
150641,	960,	180,	360,	1320,	0,	6,	
152649,	960,	180,	360,	1320,	0,	6,	
154656,	960,	180,	360,	1320,	0,	6,	
156665,	960,	180,	360,	1320,	0,	6,	
158673,	960,	180,	360,	1320,	0,	6,	
160682,	892,	163,	377,	1320,	0,	7,	
162690,	720,	120,	420,	1319,	0,	7,	
164698,	720,	120,	420,	1320,	0,	7,	
166707,	719,	120,	420,	1321,	0,	7,	
168715,	720,	120,	420,	1320,	0,	7,	
170724,	720,	120,	419,	1319,	0,	7,	
172730,	720,	120,	420,	1321,	0,	7,	
174738,	720,	120,	420,	1319,	0,	7,	
176746,	720,	120,	420,	1320,	0,	7,	
178755,	720,	120,	420,	1321,	0,	7,	
180763,	720,	120,	420,	1320,	0,	7,	
182771,	720,	120,	420,	1320,	0,	7,	
184779,	719,	120,	419,	1320,	0,	7,	
186787,	720,	120,	420,	1319,	0,	7,	
188795,	720,	120,	420,	1320,	0,	7,	
190803,	720,	120,	420,	1321,	0,	7,	
192810,	720,	120,	420,	1319,	0,	7,	
194819,	720,	120,	420,	1321,	0,	7,	
196827,	720,	120,	420,	1319,	0,	7,	
198835,	720,	120,	420,	1321,	0,	7,	
200843,	720,	120,	420,	1319,	0,	7,	
202852,	719,	119,	420,	1321,	0,	7,	
204859,	720,	121,	420,	1320,	0,	7,	
206865,	720,	120,	420,	1320,	0,	7,	
208873,	720,	120,	419,	1319,	0,	7,	
210882,	720,	120,	420,	1321,	0,	7,	
212890,	720,	120,	420,	1320,	0,	7,	
214898,	720,	120,	420,	1320,	0,	7,	
216905,	720,	120,	420,	1319,	0,	7,	
218914,	720,	120,	420,	1321,	0,	7,	
220922,	582,	97,	443,	1319,	0,	8,	
222930,	360,	60,	480,	1321,	0,	8,	
224937,	360,	60,	480,	1319,	0,	8,	
226946,	360,	60,	480,	1321,	0,	8,	
228953,	360,	60,	480,	1319,	0,	8,	
230962,	360,	60,	480,	1320,	0,	8,	
232970,	360,	60,	479,	1321,	0,	8,	
234979,	360,	60,	480,	1320,	0,	8,	
236987,	360,	60,	480,	1320,	0,	8,	
238994,	360,	60,	480,	1320,	0,	8,	
241002,	360,	60,	479,	1320,	0,	8,	
243010,	360,	60,	480,	1320,	0,	8,	
245017,	360,	60,	480,	1320,	0,	8,	
247025,	360,	60,	480,	1319,	0,	8,	
