Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
84,	103,	19,	0,	12,	0,	0,	0,	
2089,	6175,	1140,	0,	720,	0,	0,	0,	
4094,	6177,	1140,	0,	720,	0,	0,	0,	
6095,	5663,	1045,	0,	659,	0,	0,	0,	
8100,	6176,	1139,	0,	721,	0,	0,	0,	
10105,	6175,	1141,	0,	720,	0,	0,	0,	
12112,	6176,	1140,	0,	720,	0,	0,	0,	
14120,	6174,	1139,	0,	720,	0,	0,	0,	
16128,	6178,	1141,	0,	719,	0,	0,	0,	
18136,	6175,	1140,	0,	721,	0,	0,	0,	
20144,	6111,	1124,	16,	720,	0,	1,	10,	
22153,	5217,	900,	240,	720,	0,	1,	10,	
24160,	5217,	900,	240,	720,	0,	1,	10,	
26168,	5219,	899,	240,	720,	0,	1,	10,	
28176,	5215,	901,	240,	720,	0,	1,	10,	
30183,	5219,	899,	240,	720,	0,	1,	10,	
32192,	5218,	901,	240,	720,	0,	1,	10,	
34200,	5216,	900,	240,	720,	0,	1,	10,	
36207,	5217,	900,	240,	720,	0,	1,	10,	
38214,	5219,	900,	240,	720,	0,	1,	10,	
40221,	5151,	888,	252,	720,	0,	3,	16,	
42229,	4559,	780,	360,	720,	0,	3,	16,	
44237,	4556,	780,	360,	720,	0,	3,	16,	
46244,	4560,	779,	360,	720,	0,	3,	16,	
48251,	4557,	781,	360,	720,	0,	3,	16,	
50260,	4557,	780,	360,	720,	0,	3,	16,	
52268,	4554,	780,	360,	720,	0,	3,	16,	
54275,	4558,	780,	360,	720,	0,	3,	16,	
56283,	4558,	779,	360,	720,	0,	3,	16,	
58291,	4558,	781,	360,	719,	0,	3,	16,	
60299,	4557,	780,	360,	720,	0,	3,	17,	
62307,	4553,	779,	360,	721,	0,	3,	17,	
64312,	4559,	781,	360,	720,	0,	3,	17,	
66318,	4560,	780,	360,	720,	0,	3,	17,	
68322,	4559,	779,	360,	720,	0,	3,	17,	
70327,	4558,	781,	360,	720,	0,	3,	17,	
72334,	4555,	780,	360,	720,	0,	3,	17,	
74341,	4559,	780,	360,	720,	0,	3,	17,	
76349,	4557,	780,	360,	720,	0,	3,	17,	
78356,	4558,	780,	360,	720,	0,	3,	17,	
80365,	4409,	750,	390,	719,	0,	4,	23,	
82371,	3660,	600,	540,	721,	0,	4,	23,	
84379,	3660,	600,	540,	720,	0,	4,	23,	
86387,	3659,	600,	540,	720,	0,	4,	23,	
88396,	3659,	600,	540,	720,	0,	4,	23,	
90404,	3659,	600,	540,	720,	0,	4,	23,	
92413,	3659,	600,	540,	720,	0,	4,	23,	
94420,	3659,	599,	540,	720,	0,	4,	23,	
96429,	3660,	601,	540,	720,	0,	4,	23,	
98437,	3658,	600,	540,	720,	0,	4,	23,	
100445,	3586,	587,	552,	720,	0,	5,	26,	
102451,	3298,	541,	600,	720,	0,	5,	26,	
104459,	3298,	540,	600,	719,	0,	5,	26,	
106467,	3299,	540,	600,	721,	0,	5,	26,	
108475,	3299,	540,	600,	719,	0,	5,	26,	
110483,	3299,	540,	600,	720,	0,	5,	26,	
112491,	3297,	539,	600,	721,	0,	5,	26,	
114499,	3300,	541,	600,	719,	0,	5,	26,	
116507,	3298,	540,	600,	720,	0,	5,	26,	
118516,	3299,	540,	600,	721,	0,	5,	26,	
120524,	3244,	526,	614,	720,	0,	6,	28,	
122530,	3058,	479,	660,	720,	0,	6,	28,	
124536,	3056,	481,	660,	719,	0,	6,	28,	
126541,	3058,	480,	660,	721,	0,	6,	28,	
128546,	3060,	480,	659,	720,	0,	6,	28,	
130551,	3058,	480,	660,	720,	0,	6,	28,	
132559,	3059,	480,	660,	720,	0,	6,	28,	
134565,	3058,	480,	659,	720,	0,	6,	28,	
136572,	3059,	480,	660,	720,	0,	6,	28,	
138580,	3058,	480,	660,	720,	0,	6,	28,	
140587,	2970,	464,	675,	720,	0,	7,	32,	
142596,	2700,	421,	720,	719,	0,	7,	32,	
144603,	2699,	419,	720,	721,	0,	7,	32,	
146611,	2699,	421,	720,	719,	0,	7,	32,	
148618,	2699,	420,	720,	720,	0,	7,	32,	
150627,	2700,	420,	719,	720,	0,	7,	32,	
152635,	2700,	420,	720,	721,	0,	7,	32,	
154643,	2700,	420,	720,	720,	0,	7,	32,	
156651,	2700,	420,	720,	720,	0,	7,	32,	
158660,	2697,	420,	720,	720,	0,	7,	32,	
160668,	2592,	402,	738,	719,	0,	8,	34,	
162676,	2340,	360,	780,	721,	0,	8,	34,	
164684,	2340,	360,	780,	720,	0,	8,	34,	
166690,	2339,	359,	780,	720,	0,	8,	34,	
168699,	2338,	361,	779,	719,	0,	8,	34,	
170707,	2338,	360,	780,	721,	0,	8,	34,	
172714,	2312,	356,	775,	713,	0,	8,	34,	
174722,	2339,	360,	780,	720,	0,	8,	34,	
176730,	2340,	360,	780,	719,	0,	8,	34,	
178738,	2340,	360,	780,	721,	0,	8,	34,	
180746,	2180,	300,	839,	719,	0,	10,	38,	
182754,	1860,	180,	956,	721,	0,	10,	38,	
184759,	1860,	180,	959,	720,	0,	10,	38,	
186765,	1860,	180,	960,	720,	0,	10,	38,	
188770,	1859,	180,	960,	720,	0,	10,	38,	
190783,	1694,	164,	870,	655,	0,	10,	38,	
192789,	1858,	181,	960,	719,	0,	10,	38,	
194797,	1859,	179,	960,	721,	0,	10,	38,	
196804,	1860,	181,	959,	720,	0,	10,	38,	
198816,	1839,	177,	954,	712,	0,	10,	38,	
200825,	1860,	180,	960,	721,	0,	10,	38,	
202833,	1860,	180,	959,	720,	0,	10,	38,	
204841,	1858,	180,	959,	720,	0,	10,	38,	
206849,	1859,	180,	960,	719,	0,	10,	38,	
208857,	1860,	180,	960,	721,	0,	10,	38,	
210871,	1859,	180,	960,	720,	0,	10,	38,	
212873,	1859,	180,	960,	720,	0,	10,	38,	
214880,	1860,	180,	960,	719,	0,	10,	38,	
216888,	1859,	180,	960,	721,	0,	10,	38,	
