Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
121,	115,	21,	0,	10,	0,	0,	0,	
2134,	6440,	1177,	0,	560,	0,	0,	0,	
4140,	6897,	1260,	0,	599,	0,	0,	0,	
6160,	6896,	1259,	0,	601,	0,	0,	0,	
8175,	6987,	1278,	0,	607,	0,	0,	0,	
10180,	6900,	1260,	0,	600,	0,	0,	0,	
12188,	6894,	1259,	0,	600,	0,	0,	0,	
14194,	6894,	1260,	0,	600,	0,	0,	0,	
16199,	6896,	1261,	0,	600,	0,	0,	0,	
18204,	6899,	1259,	0,	600,	0,	0,	0,	
20209,	6761,	1235,	26,	600,	0,	2,	7,	
22214,	5634,	1019,	240,	600,	0,	2,	7,	
24220,	5639,	1021,	240,	598,	0,	2,	7,	
26228,	5636,	1020,	239,	602,	0,	2,	7,	
28234,	5637,	1020,	240,	599,	0,	2,	7,	
30239,	5638,	1020,	240,	601,	0,	2,	7,	
32244,	5636,	1020,	240,	600,	0,	2,	7,	
34249,	5633,	1020,	240,	600,	0,	2,	7,	
36254,	5638,	1020,	240,	600,	0,	2,	7,	
38262,	5639,	1020,	240,	599,	0,	2,	7,	
40264,	5548,	1004,	256,	601,	0,	4,	14,	
42267,	4975,	900,	360,	599,	0,	4,	14,	
44275,	4977,	900,	360,	600,	0,	4,	14,	
46283,	4974,	900,	360,	600,	0,	4,	14,	
48289,	4976,	900,	360,	600,	0,	4,	14,	
50289,	4979,	899,	360,	601,	0,	4,	14,	
52293,	4975,	901,	360,	600,	0,	4,	14,	
54299,	4980,	899,	360,	600,	0,	4,	14,	
56301,	4976,	900,	360,	600,	0,	4,	14,	
58315,	5000,	904,	360,	603,	0,	4,	14,	
60322,	4941,	892,	369,	600,	0,	5,	17,	
62329,	4738,	840,	420,	600,	0,	5,	17,	
64337,	4739,	839,	420,	600,	0,	5,	17,	
66343,	4736,	840,	420,	600,	0,	5,	17,	
68349,	4735,	841,	419,	600,	0,	5,	17,	
70356,	4734,	840,	420,	600,	0,	5,	17,	
72364,	4736,	840,	420,	600,	0,	5,	17,	
74371,	4738,	839,	420,	600,	0,	5,	17,	
76379,	4740,	841,	420,	599,	0,	5,	17,	
78382,	4739,	840,	420,	601,	0,	5,	17,	
80396,	4693,	826,	449,	607,	0,	7,	19,	
82402,	4196,	721,	540,	599,	0,	7,	19,	
84409,	4198,	720,	540,	601,	0,	7,	19,	
86423,	4220,	723,	540,	603,	0,	7,	19,	
88431,	4198,	721,	540,	600,	0,	7,	19,	
90438,	4196,	720,	539,	600,	0,	7,	19,	
92445,	4197,	719,	539,	600,	0,	7,	19,	
94450,	4198,	721,	540,	599,	0,	7,	19,	
96458,	4199,	719,	539,	601,	0,	7,	19,	
98466,	4198,	721,	539,	600,	0,	7,	19,	
100473,	4041,	693,	566,	600,	0,	9,	24,	
102481,	3479,	600,	660,	600,	0,	9,	24,	
104487,	3478,	601,	660,	600,	0,	9,	24,	
106494,	3475,	599,	660,	600,	0,	9,	24,	
108501,	3479,	601,	660,	599,	0,	9,	24,	
110508,	3479,	600,	660,	601,	0,	9,	24,	
112516,	3478,	599,	660,	600,	0,	9,	24,	
114518,	3476,	600,	660,	600,	0,	9,	24,	
116524,	3479,	601,	660,	600,	0,	9,	24,	
118532,	3477,	600,	660,	600,	0,	9,	24,	
120539,	3408,	585,	673,	600,	0,	10,	27,	
122545,	3177,	541,	720,	600,	0,	10,	27,	
124553,	3179,	540,	720,	600,	0,	10,	27,	
126560,	3179,	540,	719,	600,	0,	10,	27,	
128567,	3179,	540,	720,	600,	0,	10,	27,	
130570,	3180,	540,	720,	599,	0,	10,	27,	
132575,	3180,	539,	718,	601,	0,	10,	27,	
134583,	3180,	541,	720,	600,	0,	10,	27,	
136598,	3216,	546,	731,	607,	0,	10,	27,	
138604,	3179,	540,	720,	600,	0,	10,	27,	
140609,	3047,	506,	753,	600,	0,	10,	31,	
142616,	2698,	421,	839,	600,	0,	10,	31,	
144629,	2700,	420,	840,	600,	0,	10,	31,	
146644,	2712,	422,	842,	603,	0,	10,	31,	
148647,	2699,	420,	840,	600,	0,	10,	31,	
150655,	2700,	420,	838,	600,	0,	10,	31,	
152656,	2699,	419,	840,	600,	0,	10,	31,	
154661,	2697,	421,	839,	600,	0,	10,	31,	
156669,	2699,	419,	840,	600,	0,	10,	31,	
158684,	2733,	426,	852,	607,	0,	10,	31,	
160690,	2470,	363,	897,	600,	0,	10,	33,	
162697,	1979,	240,	1019,	599,	0,	10,	33,	
164704,	1977,	240,	1019,	600,	0,	10,	33,	
166710,	1980,	240,	1020,	601,	0,	10,	33,	
168717,	1979,	239,	1020,	600,	0,	10,	33,	
170725,	1980,	241,	1020,	600,	0,	10,	33,	
172731,	1979,	240,	1019,	599,	0,	10,	33,	
174737,	1979,	239,	1020,	601,	0,	10,	33,	
176745,	1979,	241,	1019,	600,	0,	10,	33,	
178753,	1979,	240,	1020,	600,	0,	10,	33,	
180761,	1978,	240,	1020,	599,	0,	10,	35,	
182769,	1980,	240,	1020,	601,	0,	10,	35,	
184777,	1980,	240,	1020,	600,	0,	10,	35,	
186784,	1980,	239,	1019,	600,	0,	10,	35,	
188791,	1980,	240,	1019,	600,	0,	10,	35,	
190806,	1992,	243,	1021,	602,	0,	10,	35,	
192813,	1980,	240,	1020,	601,	0,	10,	35,	
194820,	1980,	239,	1020,	600,	0,	10,	35,	
196828,	1979,	241,	1020,	599,	0,	10,	35,	
198834,	1980,	239,	1020,	601,	0,	10,	35,	
200842,	1980,	241,	1020,	599,	0,	10,	35,	
202846,	1978,	240,	1019,	600,	0,	10,	35,	
204848,	1980,	240,	1020,	601,	0,	10,	35,	
206855,	1980,	239,	1020,	600,	0,	10,	35,	
208858,	1980,	240,	1019,	600,	0,	10,	35,	
210863,	1978,	241,	1020,	600,	0,	10,	35,	
212871,	1980,	239,	1019,	600,	0,	10,	35,	
214885,	1999,	243,	1034,	607,	0,	10,	35,	
216893,	1980,	240,	1020,	600,	0,	10,	35,	
218899,	1980,	240,	1020,	600,	0,	10,	35,	
220914,	1991,	242,	1021,	603,	0,	10,	35,	
222921,	1980,	240,	1020,	599,	0,	10,	35,	
224928,	1979,	240,	1019,	601,	0,	10,	35,	
226935,	1980,	240,	1020,	600,	0,	10,	35,	
228939,	1980,	240,	1019,	599,	0,	10,	35,	
230953,	2001,	242,	1034,	608,	0,	10,	35,	
232956,	1980,	240,	1019,	600,	0,	10,	35,	
234964,	1980,	240,	1020,	599,	0,	10,	35,	
236965,	1980,	240,	1020,	601,	0,	10,	35,	
238971,	1979,	240,	1020,	600,	0,	10,	35,	
240977,	1901,	214,	1046,	599,	0,	10,	38,	
242983,	1800,	180,	1080,	601,	0,	10,	38,	
244991,	1800,	180,	1079,	599,	0,	10,	38,	
247012,	1812,	182,	1082,	604,	0,	10,	38,	
249012,	1800,	180,	1079,	600,	0,	10,	38,	
251021,	1800,	179,	1080,	600,	0,	10,	38,	
253024,	1799,	181,	1080,	600,	0,	10,	38,	
255026,	1800,	179,	1079,	600,	0,	10,	38,	
257033,	1800,	181,	1079,	600,	0,	10,	38,	
259036,	1800,	180,	1080,	600,	0,	10,	38,	
261038,	1800,	180,	1080,	600,	0,	10,	40,	
263045,	1800,	179,	1079,	600,	0,	10,	40,	
265053,	1800,	181,	1080,	599,	0,	10,	40,	
267061,	1799,	180,	1079,	600,	0,	10,	40,	
269076,	1817,	181,	1096,	608,	0,	10,	40,	
271091,	1811,	182,	1082,	603,	0,	10,	40,	
273098,	1800,	180,	1080,	600,	0,	10,	40,	
275104,	1800,	180,	1078,	599,	0,	10,	40,	
277108,	1800,	180,	1080,	600,	0,	10,	40,	
279116,	1787,	178,	1077,	597,	0,	10,	40,	
281123,	1968,	120,	1139,	601,	0,	10,	43,	
283131,	2159,	59,	1200,	600,	0,	10,	43,	
285138,	2160,	61,	1200,	599,	0,	10,	43,	
287146,	2160,	60,	1200,	600,	0,	10,	43,	
289153,	2160,	60,	1200,	601,	0,	10,	43,	
291159,	2157,	60,	1200,	599,	0,	10,	43,	
293165,	2158,	60,	1200,	600,	0,	10,	43,	
