Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
1118,	18,	0,	0,	1,	0,	
2116,	56764,	8617,	0,	28275,	0,	
3122,	72097,	10930,	0,	35980,	0,	
4117,	71150,	10809,	0,	35745,	0,	
5118,	72551,	11007,	0,	35662,	0,	
6119,	73181,	11118,	0,	36649,	0,	
7120,	73728,	11183,	0,	36619,	0,	
8121,	73846,	11217,	0,	36638,	0,	
9122,	72925,	11056,	0,	36881,	0,	
10123,	68959,	10414,	224,	34656,	0,	
11124,	55235,	7568,	3196,	35321,	0,	
12125,	57537,	7907,	3277,	36660,	0,	
13126,	57679,	7913,	3278,	36508,	0,	
14128,	56857,	7815,	3250,	36388,	0,	
15128,	56415,	7766,	3247,	36453,	0,	
16130,	57707,	7896,	3397,	36527,	0,	
17130,	58570,	8053,	3313,	36453,	0,	
18131,	57128,	7849,	3304,	36443,	0,	
19132,	57460,	7887,	3293,	36636,	0,	
20133,	52547,	7164,	3273,	33777,	0,	
21134,	47411,	6142,	5060,	36193,	0,	
22135,	47389,	6146,	5087,	36407,	0,	
23136,	46972,	6057,	5092,	36092,	0,	
24137,	47143,	6124,	4972,	36452,	0,	
25138,	45423,	5890,	4849,	34830,	0,	
26140,	44250,	5732,	4706,	34627,	0,	
27140,	43789,	5678,	4711,	34109,	0,	
28141,	47067,	6099,	4992,	36667,	0,	
29142,	46904,	6055,	5085,	36771,	0,	
30143,	42522,	5405,	4926,	32608,	0,	
31143,	42496,	5014,	6144,	36661,	0,	
32143,	42387,	5014,	5982,	36104,	0,	
33147,	40165,	4732,	5764,	34203,	0,	
34148,	39833,	4686,	5804,	34123,	0,	
35150,	40068,	4750,	5664,	34350,	0,	
36151,	39721,	4685,	5670,	33935,	0,	
37152,	39813,	4707,	5682,	33592,	0,	
38152,	41707,	4921,	5994,	35761,	0,	
39154,	40190,	4753,	5714,	34384,	0,	
40160,	35891,	4155,	5696,	29969,	0,	
41156,	30249,	3123,	7272,	34202,	0,	
42158,	30059,	3066,	7309,	34044,	0,	
43159,	30460,	3095,	7478,	34212,	0,	
44159,	30175,	3100,	7313,	34205,	0,	
45161,	30475,	3124,	7354,	33549,	0,	
46162,	30003,	3069,	7353,	33936,	0,	
47163,	30086,	3046,	7515,	34709,	0,	
48164,	29750,	3005,	7429,	34177,	0,	
49167,	30034,	3051,	7392,	34331,	0,	
50178,	26396,	2577,	7217,	29026,	0,	
51181,	30444,	3098,	7477,	34387,	0,	
52181,	29990,	3089,	7122,	34140,	0,	
53181,	29942,	3063,	7233,	33966,	0,	
54183,	30355,	3081,	7420,	34479,	0,	
55185,	29687,	3029,	7320,	33590,	0,	
56186,	31455,	3205,	7771,	35361,	0,	
57186,	30569,	3133,	7489,	34488,	0,	
58187,	30693,	3123,	7507,	34512,	0,	
59188,	31508,	3258,	7487,	35392,	0,	
60190,	26786,	2614,	7377,	29251,	0,	
61219,	22782,	2222,	5911,	26928,	0,	
62198,	15352,	1497,	4012,	18189,	0,	
63193,	19799,	1879,	5285,	23209,	0,	
64193,	26011,	2546,	6750,	30445,	0,	
65195,	27452,	2682,	7138,	31914,	0,	
66196,	30915,	3027,	7964,	36216,	0,	
67197,	30664,	3027,	7842,	35008,	0,	
68197,	28242,	2757,	7351,	33136,	0,	
69219,	28702,	2785,	7532,	33750,	0,	
70286,	24623,	2210,	7577,	26543,	0,	
71284,	28558,	2679,	8354,	36824,	0,	
72284,	28402,	2622,	8377,	36445,	0,	
73290,	27460,	2485,	8266,	34701,	0,	
74287,	27708,	2562,	8010,	35513,	0,	
75289,	27722,	2483,	8508,	36339,	0,	
76302,	28163,	2538,	8572,	35534,	0,	
77292,	28344,	2598,	8406,	35557,	0,	
78293,	26780,	2433,	8074,	34995,	0,	
79292,	28571,	2623,	8522,	36428,	0,	
80294,	24321,	2096,	8304,	29904,	0,	
81295,	24730,	1974,	9169,	36288,	0,	
82296,	23358,	1836,	8925,	35897,	0,	
83296,	24407,	1906,	9241,	36549,	0,	
84297,	23279,	1831,	8690,	34424,	0,	
85299,	22951,	1842,	8469,	33668,	0,	
86300,	24196,	1950,	8912,	35700,	0,	
87319,	24272,	1940,	8996,	35971,	0,	
88306,	24397,	1936,	9226,	35987,	0,	
89308,	23705,	1900,	8772,	34922,	0,	
90307,	20204,	1424,	8883,	28824,	0,	
91309,	16724,	627,	10208,	35652,	0,	
92310,	16142,	581,	10053,	34998,	0,	
93311,	16927,	662,	10165,	35120,	0,	
94314,	16550,	631,	10080,	35099,	0,	
95318,	16260,	619,	9940,	34895,	0,	
96315,	12714,	468,	7828,	27104,	0,	
97339,	14503,	545,	8858,	31371,	0,	
98317,	14891,	553,	9072,	31020,	0,	
99333,	15669,	591,	9648,	33532,	0,	
100319,	12526,	400,	8312,	22839,	0,	
101328,	14090,	539,	8462,	29683,	0,	
102336,	12142,	454,	7519,	26191,	0,	
103361,	6760,	241,	4189,	14565,	0,	
104359,	5675,	223,	3454,	12627,	0,	
105356,	10676,	398,	6537,	23400,	0,	
106357,	13123,	507,	7896,	27312,	0,	
107358,	15405,	601,	9305,	31936,	0,	
108366,	15137,	547,	9324,	32717,	0,	
109363,	12762,	494,	7730,	27261,	0,	
110361,	14530,	478,	9589,	26437,	0,	
111363,	14230,	565,	8524,	29884,	0,	
112364,	15945,	590,	9696,	34403,	0,	
113369,	13363,	510,	8044,	27788,	0,	
114367,	12774,	511,	7553,	26597,	0,	
115372,	13467,	525,	8040,	28538,	0,	
116368,	14550,	563,	8764,	29997,	0,	
117368,	16522,	632,	10027,	34865,	0,	
118369,	14915,	581,	8946,	31267,	0,	
119370,	15965,	602,	9754,	33967,	0,	
120375,	10302,	302,	7183,	16254,	0,	
121372,	15800,	597,	9652,	33934,	0,	
122373,	15013,	559,	9200,	32407,	0,	
123375,	15888,	604,	9668,	33471,	0,	
124378,	12695,	491,	7614,	26281,	0,	
125376,	15289,	583,	9263,	32526,	0,	
126377,	16229,	613,	9914,	35044,	0,	
127378,	16070,	609,	9763,	33847,	0,	
128483,	9942,	370,	6126,	21027,	0,	
129595,	4999,	170,	3199,	11328,	0,	
130410,	9456,	271,	6662,	14031,	0,	
131427,	10583,	414,	6414,	22334,	0,	
132431,	11339,	443,	6733,	23297,	0,	
133397,	11832,	440,	7139,	25813,	0,	
134398,	15758,	613,	9449,	33093,	0,	
135400,	16692,	625,	10254,	35581,	0,	
136400,	15974,	584,	9832,	33589,	0,	
137404,	15628,	586,	9515,	33214,	0,	
138403,	14781,	582,	8898,	31652,	0,	
139409,	15228,	578,	9226,	31619,	0,	
140406,	9809,	258,	7119,	15573,	0,	
141407,	15879,	583,	9751,	33297,	0,	
142406,	16323,	660,	9674,	34199,	0,	
143409,	16485,	630,	9886,	34173,	0,	
144410,	12677,	483,	7683,	26616,	0,	
145409,	7178,	272,	4398,	15441,	0,	
146410,	16745,	626,	10184,	34594,	0,	
147412,	12398,	470,	7482,	25881,	0,	
148414,	14740,	579,	8848,	31086,	0,	
149414,	16237,	614,	9897,	34676,	0,	
150414,	15181,	451,	10298,	28964,	0,	
151415,	14767,	229,	10925,	36963,	0,	
152415,	14086,	212,	10452,	35386,	0,	
153418,	14003,	225,	10366,	34275,	0,	
154420,	13831,	202,	10357,	34089,	0,	
155455,	11655,	170,	8729,	28996,	0,	
156421,	8418,	127,	6322,	21251,	0,	
157420,	13938,	202,	10563,	35331,	0,	
158423,	12146,	204,	8885,	30016,	0,	
159423,	13952,	207,	10486,	34485,	0,	
160424,	12708,	165,	9941,	26908,	0,	
161427,	13627,	195,	10243,	34183,	0,	
162427,	14545,	208,	10913,	36167,	0,	
163429,	14032,	217,	10413,	34499,	0,	
164431,	13669,	190,	10303,	34095,	0,	
165429,	14047,	201,	10480,	34689,	0,	
166430,	13677,	214,	10183,	34716,	0,	
167431,	14330,	219,	10697,	35674,	0,	
168432,	13744,	210,	10243,	34438,	0,	
169433,	14121,	208,	10616,	35206,	0,	
170434,	13020,	150,	10335,	28096,	0,	
171435,	14082,	215,	10502,	34347,	0,	
172437,	13742,	206,	10196,	34447,	0,	
173437,	14664,	222,	10942,	36313,	0,	
174440,	14244,	213,	10625,	34730,	0,	
175441,	14186,	212,	10615,	35023,	0,	
176440,	13984,	206,	10419,	35083,	0,	
177441,	14176,	219,	10534,	35380,	0,	
178443,	14453,	216,	10770,	36021,	0,	
179445,	14513,	220,	10788,	35763,	0,	
180446,	13320,	171,	10421,	28820,	0,	
181448,	14422,	213,	10721,	35789,	0,	
182448,	14084,	188,	10577,	35225,	0,	
183448,	13763,	198,	10286,	34383,	0,	
184451,	13746,	197,	10190,	34512,	0,	
185449,	14319,	209,	10657,	35314,	0,	
186451,	14010,	207,	10455,	34590,	0,	
187452,	14332,	204,	10713,	35705,	0,	
188452,	13951,	197,	10459,	35003,	0,	
189455,	14651,	221,	10834,	36488,	0,	
190457,	13089,	154,	10271,	27169,	0,	
191456,	14049,	230,	10417,	34617,	0,	
192456,	13790,	200,	10269,	34251,	0,	
193458,	13935,	199,	10437,	34571,	0,	
194461,	13854,	194,	10464,	34504,	0,	
195462,	14050,	202,	10483,	35085,	0,	
196462,	14544,	214,	10852,	35556,	0,	
197464,	13806,	195,	10363,	34809,	0,	
198464,	14118,	202,	10617,	35158,	0,	
199465,	13535,	195,	10215,	34272,	0,	
200466,	12695,	157,	10021,	25723,	0,	
201470,	14455,	220,	10787,	36045,	0,	
