Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
761,	1808200.0,	3273,	0,	3232,	0,	0,	
2763,	3.8582E7,	69830,	0,	69591,	0,	0,	
4769,	4.05607E7,	73400,	0,	73200,	0,	0,	
6773,	4.04261E7,	73202,	0,	72955,	0,	0,	
8776,	4.05115E7,	73372,	0,	73191,	0,	0,	
10783,	4.04592E7,	73286,	0,	73103,	0,	0,	
12787,	4.05007E7,	73340,	0,	73133,	0,	0,	
14793,	4.04567E7,	73230,	0,	73000,	0,	0,	
16797,	4.05415E7,	73400,	0,	73200,	0,	0,	
18802,	4.04954E7,	73258,	0,	73092,	0,	0,	
20804,	4.04927E7,	73380,	0,	73160,	0,	0,	
22813,	4.06135E7,	73420,	0,	73240,	0,	0,	
24819,	4.05714E7,	73400,	0,	73200,	0,	0,	
26825,	4.05497E7,	73341,	0,	73112,	0,	0,	
28831,	4.04576E7,	73200,	0,	73010,	0,	0,	
30836,	4.05236E7,	73374,	0,	73181,	0,	0,	
32842,	4.05396E7,	73373,	0,	73179,	0,	0,	
34847,	4.05015E7,	73284,	0,	73105,	0,	0,	
36850,	4.04283E7,	73149,	0,	72939,	0,	0,	
38856,	4.05683E7,	73400,	0,	73200,	0,	0,	
40861,	4.04605E7,	73196,	0,	73005,	0,	0,	
42878,	4.06379E7,	73438,	0,	73317,	0,	0,	
44892,	4.0415E7,	73143,	0,	72854,	0,	0,	
46909,	4.05747E7,	73373,	0,	73155,	0,	0,	
48917,	4.05406E7,	73340,	0,	73141,	0,	0,	
50924,	4.05338E7,	73319,	0,	73073,	0,	0,	
52931,	4.0551E7,	73384,	0,	73195,	0,	0,	
54939,	4.0521E7,	73313,	0,	73143,	0,	0,	
56943,	4.05338E7,	73369,	0,	73160,	0,	0,	
58950,	4.0535E7,	73386,	0,	73179,	0,	0,	
60955,	4.04979E7,	73257,	0,	73096,	0,	0,	
62959,	4.04438E7,	73202,	0,	72987,	0,	0,	
64966,	4.05369E7,	73390,	0,	73196,	0,	0,	
66971,	4.05117E7,	73320,	0,	73119,	0,	0,	
68977,	4.05253E7,	73361,	0,	73162,	0,	0,	
70984,	4.05091E7,	73315,	0,	73103,	0,	0,	
72990,	4.05125E7,	73323,	0,	73154,	0,	0,	
74994,	4.05007E7,	73339,	0,	73145,	0,	0,	
77002,	4.05225E7,	73313,	0,	73106,	0,	0,	
79010,	4.05453E7,	73360,	0,	73141,	0,	0,	
81019,	4.05656E7,	73379,	0,	73187,	0,	0,	
83026,	4.0494E7,	73253,	0,	73054,	0,	0,	
85038,	4.04837E7,	73248,	0,	73035,	0,	0,	
87044,	4.03131E7,	73036,	0,	72833,	0,	0,	
89049,	4.04874E7,	73383,	0,	73171,	0,	0,	
91053,	4.04679E7,	73290,	0,	73075,	0,	0,	
93058,	4.04622E7,	73277,	0,	73106,	0,	0,	
95064,	4.05369E7,	73433,	0,	73227,	0,	0,	
97069,	4.0431E7,	73275,	0,	73096,	0,	0,	
99074,	4.05371E7,	73385,	0,	73172,	0,	0,	
101081,	9.536570546244532,	33866,	24562,	50108,	8149,	30,	
103086,	1.9006905857539567,	0,	72954,	48619,	24297,	30,	
105091,	1.9001655815893996,	0,	72961,	48611,	24267,	30,	
107096,	1.9003133217371788,	0,	72708,	48456,	24208,	30,	
109101,	1.9005264593813154,	0,	72904,	48562,	24250,	30,	
111108,	1.9008799226753286,	0,	73053,	48655,	24316,	30,	
113112,	1.901075362892235,	0,	72237,	48120,	24039,	30,	
115116,	1.9022837589859503,	0,	72854,	48569,	24266,	30,	
117122,	1.900922984577238,	0,	72570,	48326,	24180,	30,	
119127,	1.9008428949502918,	0,	72703,	48460,	24192,	30,	
121132,	1.8992202984588844,	0,	73001,	48581,	24286,	30,	
123136,	1.901555425433567,	0,	72701,	48457,	24198,	30,	
125142,	1.9011830171276354,	0,	72933,	48594,	24263,	30,	
127147,	1.9017880337300854,	0,	72639,	48427,	24159,	30,	
129151,	1.9043247532139225,	0,	72809,	48602,	24284,	30,	
131154,	1.9019810119507485,	0,	72731,	48510,	24239,	30,	
133157,	1.9009472808366823,	0,	72820,	48556,	24248,	30,	
135160,	1.9013590688783375,	0,	72830,	48556,	24252,	30,	
137166,	1.902351574467721,	0,	72454,	48327,	24149,	30,	
139169,	1.9009103049558054,	0,	72702,	48456,	24205,	30,	
141175,	1.901225200318975,	0,	73197,	48748,	24368,	30,	
143184,	1.9019275727988998,	0,	73191,	48769,	24362,	30,	
145195,	1.902638042568343,	0,	73191,	48772,	24364,	30,	
147203,	1.9050932198731811,	0,	72956,	48703,	24339,	30,	
149209,	1.9037558006964468,	0,	73002,	48727,	24341,	30,	
151215,	1.9014584464901574,	0,	73147,	48786,	24379,	30,	
153220,	1.90003934770492,	0,	73219,	48753,	24362,	30,	
155228,	1.9013300869601324,	0,	73214,	48838,	24386,	30,	
157234,	1.9030447101952899,	0,	73138,	48793,	24375,	30,	
159240,	1.9017065699681928,	0,	73118,	48739,	24344,	30,	
161248,	1.9017420528507767,	0,	73236,	48853,	24370,	30,	
163252,	1.9018200630305768,	0,	73009,	48656,	24311,	30,	
165258,	1.9011768214473426,	0,	73232,	48798,	24384,	30,	
167263,	1.9014933387825066,	0,	73112,	48746,	24345,	30,	
169269,	1.9019551656912088,	0,	73181,	48800,	24345,	30,	
171274,	1.9015023583174016,	0,	73139,	48766,	24339,	30,	
173282,	1.9013722224141725,	0,	73225,	48799,	24375,	30,	
175289,	1.9025204496650288,	0,	73154,	48795,	24367,	30,	
177295,	1.9016267671716554,	0,	73201,	48784,	24384,	30,	
179299,	1.9026111990503387,	0,	72986,	48674,	24328,	30,	
181308,	1.9015800238025025,	0,	73278,	48785,	24407,	30,	
183313,	1.9005990175406338,	0,	73088,	48705,	24317,	30,	
185322,	1.9021599980664194,	0,	73232,	48786,	24378,	30,	
187327,	1.9013981789676189,	0,	73153,	48761,	24355,	30,	
189334,	1.9013858570432436,	0,	73154,	48700,	24330,	30,	
191339,	1.9004191564655444,	0,	73197,	48737,	24338,	30,	
193347,	1.9011062884793102,	0,	73291,	48841,	24408,	30,	
195351,	1.9003059854115192,	0,	73144,	48707,	24331,	30,	
197355,	1.9004201322223107,	0,	73027,	48689,	24321,	30,	
199361,	1.9007881316643487,	0,	73187,	48749,	24370,	30,	
