Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
6887,	1448200.0,	2525,	0,	2431,	0,	0,	
8909,	1.49636E7,	27181,	0,	27963,	0,	0,	
11002,	1.70557E7,	31066,	0,	31400,	0,	0,	
13042,	1.54186E7,	27916,	0,	28377,	0,	0,	
15064,	1.97492E7,	35695,	0,	36981,	0,	0,	
17084,	2.0939E7,	37810,	0,	39758,	0,	0,	
19099,	2.30046E7,	41682,	0,	42641,	0,	0,	
21118,	2.63271E7,	47617,	0,	47463,	0,	0,	
23138,	2.63972E7,	47710,	0,	47580,	0,	0,	
25161,	2.63916E7,	47710,	0,	47580,	0,	0,	
27180,	2.63931E7,	47710,	0,	47580,	0,	0,	
29201,	2.63852E7,	47710,	0,	47580,	0,	0,	
31222,	2.63846E7,	47710,	0,	47580,	0,	0,	
33243,	2.63941E7,	47710,	0,	47580,	0,	0,	
38065,	2.10445E7,	39392,	0,	43538,	0,	0,	
42770,	2.20224E7,	42599,	0,	39280,	0,	0,	
46770,	1.80618E7,	34985,	0,	33841,	0,	0,	
50153,	2.20893E7,	41923,	0,	38067,	0,	0,	
53111,	2.87494E7,	52991,	0,	49042,	0,	0,	
55518,	2.73827E7,	49967,	0,	49273,	0,	0,	
57676,	2.52233E7,	45933,	0,	45666,	0,	0,	
60223,	2.82041E7,	51286,	0,	50737,	0,	0,	
62924,	2.42087E7,	44448,	0,	42417,	0,	0,	
65000,	1.39531E7,	25348,	0,	23269,	0,	0,	
67481,	1.44214E7,	26286,	0,	25235,	0,	0,	
69601,	1.81623E7,	33143,	0,	32404,	0,	0,	
71621,	2.0588E7,	37563,	0,	38351,	0,	0,	
73641,	2.15895E7,	39356,	0,	40547,	0,	0,	
75658,	2.24219E7,	40749,	0,	41948,	0,	0,	
77675,	2.35892E7,	42749,	0,	42934,	0,	0,	
79701,	2.41613E7,	43807,	0,	43693,	0,	0,	
81717,	2.44785E7,	44417,	0,	44327,	0,	0,	
83896,	2.32016E7,	42117,	0,	42308,	0,	0,	
86195,	1.49045E7,	27313,	0,	28939,	0,	0,	
88216,	1.93885E7,	35236,	0,	36382,	0,	0,	
90232,	2.1268E7,	38589,	0,	40031,	0,	0,	
92708,	2.76731E7,	50125,	0,	50919,	0,	0,	
94724,	2.36416E7,	42757,	0,	43645,	0,	0,	
96746,	2.43378E7,	44038,	0,	44407,	0,	0,	
98984,	2.76E7,	49902,	0,	50929,	0,	0,	
101017,	1.26058E7,	22574,	0,	23052,	0,	0,	
103152,	0.0,	0,	0,	0,	0,	0,	
105185,	0.0,	0,	0,	0,	0,	0,	
107214,	0.0,	0,	0,	0,	0,	0,	
109572,	0.0,	0,	0,	0,	0,	0,	
