Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1900,	401100.0,	652,	0,	559,	0,	0,	
4038,	1.42069E7,	25735,	0,	25443,	0,	0,	
6065,	1.76104E7,	32061,	0,	31066,	0,	0,	
8101,	1.90715E7,	34839,	0,	33555,	0,	0,	
10122,	2.01288E7,	36763,	0,	36181,	0,	0,	
12223,	2.05956E7,	37560,	0,	38977,	0,	0,	
14918,	2.34785E7,	42912,	0,	42903,	0,	0,	
17675,	2.39976E7,	42513,	0,	42116,	0,	0,	
20266,	2.06505E7,	36837,	0,	38161,	0,	0,	
22860,	1.73238E7,	31463,	0,	32150,	0,	0,	
24888,	1.81871E7,	33206,	0,	31958,	0,	0,	
26908,	1.97754E7,	36179,	0,	35167,	0,	0,	
28927,	2.09404E7,	38125,	0,	36916,	0,	0,	
31057,	2.03802E7,	36844,	0,	36473,	0,	0,	
33077,	2.09359E7,	37812,	0,	37943,	0,	0,	
35094,	2.14279E7,	38830,	0,	37963,	0,	0,	
37115,	2.23878E7,	40600,	0,	39342,	0,	0,	
39139,	2.26708E7,	41123,	0,	39720,	0,	0,	
41156,	2.33997E7,	42398,	0,	41762,	0,	0,	
43181,	2.30961E7,	41805,	0,	40135,	0,	0,	
45387,	1.69637E7,	30636,	0,	30699,	0,	0,	
47423,	1.68438E7,	30440,	0,	31598,	0,	0,	
49734,	1.93938E7,	35219,	0,	36712,	0,	0,	
52250,	2.03215E7,	36752,	0,	35446,	0,	0,	
54306,	1.99116E7,	36272,	0,	34516,	0,	0,	
56327,	2.13546E7,	38740,	0,	37179,	0,	0,	
58349,	2.19501E7,	39834,	0,	38748,	0,	0,	
60384,	2.2003E7,	39948,	0,	39398,	0,	0,	
62401,	2.0996E7,	38102,	0,	38534,	0,	0,	
64434,	2.23334E7,	40574,	0,	41071,	0,	0,	
66455,	2.3056E7,	41784,	0,	41528,	0,	0,	
68475,	2.31924E7,	41797,	0,	41554,	0,	0,	
70496,	2.34219E7,	42095,	0,	42710,	0,	0,	
72519,	2.34308E7,	42118,	0,	42903,	0,	0,	
74538,	2.35871E7,	42418,	0,	43354,	0,	0,	
76561,	2.38802E7,	42957,	0,	43984,	0,	0,	
78579,	2.39251E7,	43022,	0,	44095,	0,	0,	
80600,	2.41661E7,	43405,	0,	44336,	0,	0,	
82622,	2.43724E7,	43767,	0,	44836,	0,	0,	
84661,	2.30281E7,	41493,	0,	42042,	0,	0,	
86695,	2.04106E7,	36956,	0,	36788,	0,	0,	
88726,	2.15192E7,	39033,	0,	38564,	0,	0,	
90747,	2.30858E7,	42000,	0,	41052,	0,	0,	
92770,	2.51364E7,	45547,	0,	44717,	0,	0,	
94788,	2.5155E7,	45541,	0,	44953,	0,	0,	
96808,	2.50025E7,	45281,	0,	44762,	0,	0,	
98829,	2.50402E7,	45381,	0,	44605,	0,	0,	
102242,	1.45493E7,	26078,	0,	26008,	0,	0,	
104418,	0.0,	0,	0,	0,	0,	0,	
106432,	1.9095043603630495,	0,	34035,	0,	34673,	29,	
108452,	1.9709156292633332,	0,	40366,	0,	40941,	29,	
110471,	1.9847345147857443,	0,	42450,	0,	42371,	29,	
112492,	1.9896651783800592,	0,	43157,	0,	43497,	29,	
114509,	1.9955865170429248,	0,	43281,	0,	44202,	29,	
116530,	2.00275961939425,	0,	43477,	0,	44520,	29,	
118553,	2.003413911632998,	0,	43932,	0,	44911,	29,	
120572,	2.0051320418892913,	0,	44228,	0,	45203,	29,	
122595,	2.012335002163741,	0,	44668,	0,	45567,	29,	
124616,	1.9876693682139008,	0,	42984,	0,	43885,	29,	
126636,	1.9885769035244252,	0,	43335,	0,	44397,	29,	
128654,	1.9921772464190182,	0,	43849,	0,	44780,	29,	
130674,	1.9915931688934212,	0,	44490,	0,	45257,	29,	
132695,	1.9964563006515352,	0,	44874,	0,	45700,	29,	
134716,	1.9982476608312278,	0,	45094,	0,	46182,	29,	
136736,	2.0037154666529235,	0,	45211,	0,	46073,	29,	
138757,	2.005756282792168,	0,	45512,	0,	46162,	29,	
140777,	2.0063926946637705,	0,	45674,	0,	46192,	29,	
142798,	2.006710086247788,	0,	45600,	0,	46121,	29,	
144818,	2.0073431524084455,	0,	45618,	0,	46166,	29,	
146839,	2.0040171174005725,	0,	45799,	0,	46317,	29,	
148857,	2.0009791242780373,	0,	45939,	0,	46269,	29,	
150877,	2.0040512331341116,	0,	45907,	0,	46087,	29,	
152898,	2.0224227693624672,	0,	44998,	0,	45243,	29,	
154918,	2.031322437172114,	0,	42429,	0,	43870,	29,	
156942,	2.047927627057028,	0,	40519,	0,	41291,	29,	
158962,	2.0251494677083617,	0,	40676,	0,	39943,	29,	
160983,	2.0091674979360152,	0,	41994,	0,	39518,	29,	
163005,	2.0260911625190334,	0,	42734,	0,	40126,	29,	
165021,	2.025833559652086,	0,	43044,	0,	41585,	29,	
167040,	2.0241921700102026,	0,	43939,	0,	42694,	29,	
169062,	2.02480242739301,	0,	44390,	0,	43014,	29,	
171084,	2.023461611470483,	0,	44199,	0,	43554,	29,	
173104,	2.0256024630009226,	0,	43745,	0,	42899,	29,	
175125,	2.0272706225341457,	0,	44186,	0,	42584,	29,	
177143,	2.0237933877186087,	0,	44045,	0,	42741,	29,	
179164,	2.029930903582558,	0,	44435,	0,	43071,	29,	
181185,	2.0305956454567617,	0,	44254,	0,	43290,	29,	
183205,	2.028663540326792,	0,	44446,	0,	43659,	29,	
185225,	2.0261102040843912,	0,	44388,	0,	43809,	29,	
