Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
2700,	21337,	3766,	0,	4661,	0,	0,	
4977,	149674,	26329,	0,	32883,	0,	0,	
7200,	143053,	25162,	0,	31420,	0,	0,	
9419,	142686,	25087,	0,	31360,	0,	0,	
11478,	73225,	8515,	10769,	20521,	3548,	27,	
13555,	89071,	4594,	27266,	30686,	9074,	27,	
15667,	89500,	4622,	27413,	30910,	9110,	27,	
17744,	89409,	4620,	27373,	30889,	9108,	27,	
19754,	86721,	4480,	26547,	29949,	8832,	27,	
21792,	66946,	1947,	22930,	23415,	7577,	27,	
23822,	84047,	2068,	29340,	29628,	9647,	27,	
25867,	85199,	2106,	29747,	30006,	9786,	27,	
27930,	86330,	2129,	30134,	30384,	9915,	27,	
29970,	85408,	2105,	29821,	30097,	9797,	27,	
32043,	67088,	2053,	21311,	22305,	6668,	27,	
34106,	89973,	2759,	28334,	29962,	8910,	27,	
36113,	91078,	2793,	28685,	30318,	9015,	27,	
38133,	91187,	2794,	28734,	30367,	9038,	27,	
40182,	84738,	2585,	26821,	28122,	8403,	27,	
42196,	91761,	5,	28130,	26016,	9005,	30,	
44210,	103821,	0,	31552,	29310,	10154,	30,	
46219,	103618,	0,	31467,	29180,	10124,	30,	
48228,	103823,	0,	31551,	29306,	10152,	30,	
50282,	90012,	0,	27718,	25246,	8839,	30,	
52307,	90042,	0,	29553,	27255,	9475,	30,	
54329,	97637,	0,	31816,	29513,	10217,	30,	
56351,	96889,	0,	31560,	29275,	10159,	30,	
58393,	97634,	0,	31792,	29504,	10222,	30,	
60432,	76977,	0,	25547,	23113,	8111,	30,	
62446,	78084,	0,	25538,	23617,	8199,	30,	
64488,	98046,	0,	31950,	29629,	10276,	30,	
66503,	97297,	0,	31661,	29367,	10181,	30,	
68517,	96607,	0,	31474,	29205,	10127,	30,	
70522,	72895,	0,	24309,	21982,	7672,	30,	
72538,	80882,	0,	26363,	24456,	8472,	30,	
74559,	92051,	0,	29978,	27809,	9650,	30,	
76576,	98056,	0,	31906,	29637,	10269,	30,	
78617,	98421,	0,	32065,	29751,	10309,	30,	
80625,	76412,	0,	25443,	22986,	8056,	30,	
82650,	97916,	0,	31882,	29620,	10262,	30,	
84670,	97089,	0,	31615,	29330,	10167,	30,	
86731,	98716,	0,	32168,	29812,	10333,	30,	
88742,	95639,	0,	31151,	28934,	10018,	30,	
90758,	76811,	0,	25555,	23089,	8079,	30,	
92779,	97272,	0,	31724,	29397,	10206,	30,	
94816,	98126,	0,	31948,	29651,	10290,	30,	
96837,	97725,	0,	31791,	29475,	10217,	30,	
98858,	97066,	0,	31633,	29405,	10181,	30,	
100875,	77400,	0,	25724,	23281,	8165,	30,	
102992,	100739,	0,	32803,	30470,	10555,	30,	
105000,	95695,	0,	31155,	28908,	10022,	30,	
107023,	96912,	0,	31577,	29285,	10150,	30,	
109066,	98270,	0,	31998,	29673,	10294,	30,	
111116,	76466,	0,	25472,	23019,	8053,	30,	
113143,	97354,	0,	31758,	29472,	10203,	30,	
115168,	97565,	0,	31734,	29444,	10225,	30,	
117194,	97396,	0,	31747,	29447,	10188,	30,	
119207,	96803,	0,	31528,	29258,	10143,	30,	
121261,	77218,	0,	25732,	23238,	8144,	30,	
123276,	96791,	0,	31534,	29261,	10140,	30,	
125319,	97352,	0,	31718,	29419,	10189,	30,	
127346,	97649,	0,	31786,	29516,	10236,	30,	
129377,	96965,	0,	31596,	29315,	10167,	30,	
131394,	76552,	0,	25482,	23045,	8054,	30,	
133567,	100843,	0,	32813,	30449,	10560,	30,	
135575,	91068,	0,	29701,	27566,	9559,	30,	
137613,	97581,	0,	31797,	29493,	10215,	30,	
139642,	96076,	0,	31247,	29029,	10059,	30,	
141666,	77617,	0,	25886,	23378,	8172,	30,	
143691,	98210,	0,	31953,	29652,	10292,	30,	
145709,	97251,	0,	31711,	29422,	10200,	30,	
147731,	97724,	0,	31790,	29509,	10225,	30,	
149767,	97895,	0,	31894,	29592,	10246,	30,	
151790,	78598,	0,	26151,	23652,	8263,	30,	
153818,	97273,	0,	31687,	29390,	10206,	30,	
155851,	97935,	0,	31891,	29619,	10248,	30,	
157885,	97125,	0,	31630,	29324,	10177,	30,	
159938,	98298,	0,	32006,	29702,	10290,	30,	
161984,	74604,	0,	24882,	22431,	7882,	30,	
163998,	97308,	0,	31675,	29391,	10191,	30,	
166041,	97998,	0,	31924,	29605,	10260,	30,	
168055,	97070,	0,	31605,	29380,	10164,	30,	
170074,	91614,	0,	29848,	27577,	9603,	30,	
172112,	78491,	0,	26096,	23740,	8301,	30,	
174178,	99710,	0,	32458,	30148,	10441,	30,	
176218,	98293,	0,	32012,	29707,	10298,	30,	
178226,	96712,	0,	31480,	29240,	10128,	30,	
180256,	86811,	0,	28538,	26083,	9118,	30,	
182268,	88866,	0,	29222,	26896,	9339,	30,	
184317,	98652,	0,	32165,	29804,	10335,	30,	
186336,	91853,	0,	29887,	27770,	9621,	30,	
