Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
525,	275,	22,	0,	49,	0,	
1532,	3070,	467,	0,	1380,	0,	
2537,	3831,	600,	0,	1848,	0,	
3542,	4148,	650,	0,	1914,	0,	
4546,	4340,	687,	0,	1994,	0,	
5551,	3865,	618,	0,	1743,	0,	
6555,	3829,	604,	0,	1787,	0,	
7561,	4507,	707,	0,	2037,	0,	
8565,	4657,	722,	0,	2147,	0,	
9569,	3898,	619,	0,	1880,	0,	
10572,	4542,	719,	0,	2096,	0,	
16064,	22884,	3622,	0,	10562,	0,	
17068,	3876,	609,	0,	1699,	0,	
18072,	5120,	802,	0,	2333,	0,	
19078,	4023,	627,	0,	1867,	0,	
20083,	3924,	621,	0,	1837,	0,	
21085,	4266,	675,	0,	1982,	0,	
22090,	4409,	684,	0,	1979,	0,	
23096,	3454,	533,	0,	1665,	0,	
24102,	4608,	726,	0,	2115,	0,	
25107,	4566,	716,	0,	2175,	0,	
26110,	4426,	698,	0,	2068,	0,	
27115,	4289,	678,	0,	2028,	0,	
28120,	3624,	577,	0,	1762,	0,	
29127,	4173,	651,	0,	1995,	0,	
30131,	3839,	606,	0,	2018,	0,	
31137,	4228,	667,	0,	2225,	0,	
32140,	3978,	623,	0,	2040,	0,	
33145,	4693,	738,	0,	2466,	0,	
34148,	3798,	605,	0,	2096,	0,	
35153,	3509,	553,	0,	1708,	0,	
36158,	3408,	546,	0,	1630,	0,	
37164,	3717,	582,	0,	1773,	0,	
38167,	4043,	629,	0,	1948,	0,	
39170,	4170,	666,	0,	1958,	0,	
40171,	4252,	663,	0,	2004,	0,	
41175,	3382,	551,	0,	1653,	0,	
42182,	2662,	417,	0,	1349,	0,	
43187,	2732,	443,	0,	1254,	0,	
44191,	3358,	519,	0,	1617,	0,	
45195,	3401,	553,	0,	1643,	0,	
46202,	3291,	516,	0,	1573,	0,	
47204,	3541,	555,	0,	1682,	0,	
48210,	3431,	536,	0,	1540,	0,	
49215,	4228,	655,	0,	2133,	0,	
50219,	2960,	483,	28,	1488,	0,	
51222,	2757,	210,	1266,	1673,	0,	
52225,	3110,	236,	1384,	2216,	0,	
53230,	3043,	232,	1323,	2100,	0,	
54232,	3020,	223,	1363,	2080,	0,	
55236,	2813,	204,	1278,	1955,	0,	
56240,	2634,	178,	1300,	1837,	0,	
57245,	2719,	183,	1352,	1879,	0,	
58248,	2693,	184,	1295,	1793,	0,	
59253,	2549,	165,	1312,	1580,	0,	
60258,	2369,	156,	1213,	1475,	0,	
61265,	2777,	150,	1519,	1662,	0,	
62267,	2694,	182,	1292,	1802,	0,	
63274,	2685,	170,	1372,	1653,	0,	
64277,	2608,	166,	1358,	1571,	0,	
65281,	2502,	152,	1303,	1557,	0,	
66286,	2734,	182,	1364,	1833,	0,	
67291,	2670,	167,	1379,	1701,	0,	
68296,	2658,	171,	1341,	1808,	0,	
69300,	2517,	159,	1290,	1727,	0,	
70302,	2284,	117,	1312,	1536,	0,	
71305,	2602,	155,	1378,	1732,	0,	
72310,	2362,	126,	1371,	1490,	0,	
73315,	2588,	156,	1350,	1766,	0,	
74318,	2421,	149,	1279,	1793,	0,	
75322,	2361,	140,	1249,	1510,	0,	
76328,	2727,	189,	1282,	1762,	0,	
77334,	2789,	175,	1390,	2054,	0,	
78339,	2868,	202,	1370,	1992,	0,	
79345,	2918,	212,	1300,	2048,	0,	
80352,	2773,	205,	1236,	2138,	0,	
81356,	2695,	184,	1267,	1838,	0,	
82362,	2696,	187,	1270,	1830,	0,	
83365,	2963,	200,	1422,	2048,	0,	
84368,	2665,	172,	1351,	1855,	0,	
85373,	2931,	183,	1517,	1909,	0,	
86377,	2746,	188,	1305,	1925,	0,	
87382,	3051,	223,	1373,	2116,	0,	
88388,	2784,	188,	1365,	1902,	0,	
89392,	3035,	194,	1502,	1967,	0,	
90395,	2913,	206,	1410,	1960,	0,	
91405,	3396,	261,	1415,	2237,	0,	
92409,	2996,	232,	1326,	2015,	0,	
93412,	3274,	257,	1340,	2253,	0,	
94417,	3034,	249,	1264,	2314,	0,	
95422,	2744,	185,	1354,	1933,	0,	
96423,	2780,	196,	1312,	1915,	0,	
97427,	2738,	199,	1242,	1969,	0,	
98434,	2718,	201,	1232,	1991,	0,	
99439,	2623,	181,	1295,	1770,	0,	
100446,	2489,	152,	1340,	1575,	0,	
101449,	2805,	142,	1734,	2210,	0,	
102453,	2856,	116,	1923,	1880,	0,	
103460,	2804,	122,	1783,	1840,	0,	
104464,	2752,	122,	1800,	1831,	0,	
