Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
29,	1.3157894736842106,	0.5263157894736842,	0.0,	0.47368421052631576,	0.0,	0,	
1034,	1.3366873065015479,	0.5348297213622291,	0.0,	0.47523219814241485,	0.0,	0,	
2049,	1.3296282100421617,	0.532387888079724,	0.0,	0.47949405902644693,	0.0,	0,	
3053,	1.335221421215242,	0.5342430484037075,	0.0,	0.48031901209158734,	0.0,	0,	
4065,	1.3335274703940982,	0.5338769171034751,	0.0,	0.48107163657542223,	0.0,	0,	
5082,	1.3200614911606456,	0.528055342044581,	0.006149116064565719,	0.4765564950038432,	0.003843197540353574,	6,	
6096,	1.1038693919526932,	0.4415734670266101,	0.09229978146291297,	0.4159917727214295,	0.06440416505977632,	6,	
7111,	0.9423836698858647,	0.37697541703248466,	0.15671641791044777,	0.37071992976294993,	0.10952589991220368,	6,	
8128,	0.824721475220899,	0.3299077986938148,	0.20341913177103343,	0.33768728390318864,	0.14223972339608146,	6,	
9142,	0.7334927820961817,	0.2934141966344922,	0.2398564961134364,	0.3121209532758179,	0.1677628769112497,	6,	
10157,	0.6601322263222632,	0.26406826568265684,	0.26883456334563344,	0.2915129151291513,	0.18803813038130382,	6,	
11158,	0.6001118177370885,	0.2400587043119715,	0.2926420236181958,	0.27466461710452766,	0.20493292342090552,	6,	
12158,	0.5517573732570841,	0.22071580029557283,	0.3120863586712074,	0.26113217246032255,	0.2184026216025188,	6,	
13159,	0.5091911764705882,	0.20368833017077798,	0.3288662239089184,	0.24905123339658444,	0.2301944971537002,	6,	
14162,	0.4726442095992955,	0.1890686922060766,	0.3432408630559225,	0.23877146631439894,	0.240147512109203,	6,	
15162,	0.4412868081607482,	0.17652500128475257,	0.3559278482964181,	0.2300220977439745,	0.2490878256847731,	6,	
16163,	0.41437050620083965,	0.16575785359262654,	0.3665009892390098,	0.22245813830043912,	0.25647830912512665,	6,	
17164,	0.3890096946634049,	0.15561293829845066,	0.3766875056627707,	0.21536649451843798,	0.26365860288121773,	6,	
18164,	0.36731114723244074,	0.14693301394473438,	0.3851484301480024,	0.2092565660022243,	0.2696124561553597,	6,	
19164,	0.34831460674157305,	0.13933395529955786,	0.3928122338052164,	0.20395083762625238,	0.2749766762665801,	6,	
20165,	0.3313652851740372,	0.1325538319055337,	0.39955236551670914,	0.19919734506444392,	0.2796943736976152,	6,	
21165,	0.3155709088236375,	0.12623571349821763,	0.40586527507258097,	0.19477417220976811,	0.2841130425195693,	6,	
22165,	0.30126653334736697,	0.12051363014419535,	0.4116408799073782,	0.19078693470862715,	0.28807493948005475,	6,	
23165,	0.2877970305325602,	0.11512551529979556,	0.41683145088313167,	0.18698260548982806,	0.29185239802929247,	6,	
24168,	0.27555997689493616,	0.11023040883126885,	0.4215390539759964,	0.18352480585328285,	0.2951351004428471,	6,	
25168,	0.26479385734990285,	0.10592371025933578,	0.4257300564309723,	0.1804866014986586,	0.29809738197292546,	6,	
26169,	0.2544296296296296,	0.10177777777777777,	0.4298074074074074,	0.17757037037037038,	0.30094814814814813,	6,	
27169,	0.24520974328221823,	0.09808960849824382,	0.4333361889260116,	0.17496216339701304,	0.30337816613838203,	6,	
28170,	0.23624408495653132,	0.0945031363486299,	0.436750302630131,	0.17241663915483657,	0.30582150324639595,	6,	
29170,	0.22804408445093613,	0.09122294516000531,	0.43991501792590626,	0.17009693267826317,	0.3080334616916744,	6,	
30170,	0.22051874678993322,	0.08821263482280431,	0.4428351309707242,	0.1679763739085773,	0.3100924499229584,	6,	
31170,	0.21337342212503727,	0.08535433853493689,	0.445656495378193,	0.16596262796938674,	0.3120465162508697,	6,	
32170,	0.2065225233892109,	0.08261381947617788,	0.44842348300824936,	0.16404915943144377,	0.31395656461194354,	6,	
33171,	0.20042479693772758,	0.08017458687330782,	0.45079824479507047,	0.16233311548874987,	0.3156334609280179,	6,	
34171,	0.19473863249801565,	0.0778999886608459,	0.45297652795101484,	0.16072117020070303,	0.31715614015194465,	6,	
35171,	0.18913263732875205,	0.0756574600237875,	0.4551341350601295,	0.15913395885643805,	0.31864235055724416,	6,	
36171,	0.18385218173253973,	0.07354515479809874,	0.457200359696827,	0.15764569862544428,	0.32008735494369034,	6,	
37172,	0.17884367059607614,	0.0715416336901737,	0.4591160911400841,	0.1562252676302745,	0.32142708376723456,	6,	
38172,	0.1741679005334361,	0.06967121676165751,	0.460905015921952,	0.15489929618887288,	0.32267813317648014,	6,	
39172,	0.16964656143193,	0.0678625758144497,	0.46271015666673254,	0.15364403263725626,	0.32394254894600627,	6,	
40172,	0.1654400431565968,	0.06617987053020961,	0.46431874229346487,	0.15245453144266338,	0.3251001849568434,	6,	
41172,	0.1613551805779999,	0.0645458303581495,	0.4658574166635349,	0.15128340035326393,	0.32626179112330417,	6,	
42173,	0.15736617369472392,	0.06295013469679477,	0.4673520626019389,	0.15014569245148165,	0.3273040482342808,	6,	
43173,	0.15377314566097203,	0.061512839798001505,	0.46875111922925394,	0.14911715196447117,	0.32828337093943627,	6,	
44173,	0.15030368801526317,	0.06012497593250599,	0.4700775410897761,	0.14813323764681172,	0.3292083107244753,	6,	
45174,	0.14693954379780627,	0.058779239891168567,	0.47136330190455006,	0.14717910984103083,	0.3300877838429816,	6,	
46174,	0.14372029189261565,	0.057491464149427594,	0.4725681194349602,	0.1462643101024302,	0.33095668474258555,	6,	
47174,	0.1406252558832681,	0.056253377659138924,	0.47377298855280614,	0.14539082586836546,	0.33185398686602363,	6,	
48175,	0.13784191601386928,	0.055139976884551176,	0.4748940541928856,	0.1446160267111853,	0.33258957236419673,	6,	
