Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
359,	211,	5,	0,	2,	0,	
1368,	1226,	152,	0,	154,	0,	
2375,	1156,	173,	0,	151,	0,	
3381,	2214,	315,	0,	343,	0,	
4389,	2390,	356,	0,	361,	0,	
5405,	3794,	530,	0,	555,	0,	
6535,	4083,	583,	0,	552,	0,	
7543,	4526,	670,	0,	630,	0,	
8552,	5790,	836,	0,	834,	0,	
9559,	5385,	774,	0,	675,	0,	
10567,	2952,	457,	0,	438,	0,	
11594,	3574,	508,	0,	540,	0,	
12608,	3063,	445,	0,	451,	0,	
13626,	3953,	576,	0,	548,	0,	
14633,	4713,	684,	0,	644,	0,	
15641,	3654,	551,	0,	476,	0,	
16651,	3489,	487,	0,	480,	0,	
17664,	4044,	593,	0,	562,	0,	
18677,	3746,	556,	0,	527,	0,	
19685,	2852,	417,	0,	391,	0,	
20691,	3719,	546,	0,	528,	0,	
21699,	2950,	443,	0,	464,	0,	
22709,	3042,	442,	0,	399,	0,	
23718,	2928,	432,	0,	380,	0,	
24724,	4244,	625,	0,	516,	0,	
25733,	3848,	551,	0,	459,	0,	
26741,	4069,	604,	0,	522,	0,	
27765,	2147,	310,	0,	278,	0,	
28773,	3630,	535,	0,	494,	0,	
29782,	1746,	250,	0,	223,	0,	
30791,	1719,	256,	0,	219,	0,	
31802,	3127,	447,	0,	434,	0,	
32824,	2851,	431,	0,	402,	0,	
33833,	1729,	246,	0,	248,	0,	
34839,	4176,	601,	0,	534,	0,	
35848,	3370,	488,	0,	432,	0,	
36857,	3661,	541,	0,	466,	0,	
37863,	4713,	667,	0,	589,	0,	
38872,	2787,	420,	0,	383,	0,	
39879,	4606,	669,	0,	645,	0,	
40887,	4436,	633,	0,	640,	0,	
41894,	5080,	737,	0,	702,	0,	
42901,	5511,	811,	0,	847,	0,	
43909,	3605,	506,	0,	467,	0,	
44918,	3934,	583,	0,	565,	0,	
45926,	4460,	644,	0,	663,	0,	
46934,	5103,	734,	0,	758,	0,	
47941,	4356,	643,	0,	668,	0,	
48948,	1971,	290,	0,	279,	0,	
49955,	2381,	338,	0,	326,	0,	
50964,	1251,	168,	282,	173,	114,	
51972,	3962,	50,	3662,	418,	1636,	
52981,	3648,	0,	3520,	463,	1555,	
53986,	3705,	0,	3559,	549,	1576,	
54994,	3716,	0,	3591,	592,	1587,	
56002,	3705,	0,	3569,	496,	1572,	
57017,	3571,	0,	3451,	587,	1522,	
58040,	3697,	0,	3566,	444,	1573,	
59048,	3527,	0,	3401,	541,	1507,	
60056,	3627,	0,	3485,	471,	1540,	
61064,	3788,	0,	3654,	474,	1625,	
62072,	3748,	0,	3610,	599,	1587,	
63093,	3788,	0,	3654,	589,	1612,	
64101,	3716,	0,	3553,	511,	1562,	
65109,	3795,	0,	3676,	494,	1591,	
66115,	3825,	0,	3699,	533,	1640,	
67131,	3926,	0,	3795,	603,	1693,	
68139,	3664,	0,	3509,	515,	1537,	
69160,	3863,	0,	3749,	548,	1639,	
70176,	3981,	0,	3836,	637,	1669,	
71184,	3678,	0,	3529,	566,	1568,	
72191,	4049,	0,	3918,	512,	1717,	
73200,	3944,	0,	3803,	522,	1669,	
74207,	3779,	0,	3643,	557,	1592,	
75238,	3849,	0,	3717,	555,	1627,	
76251,	3777,	0,	3641,	536,	1601,	
77259,	3883,	0,	3741,	542,	1604,	
78268,	3742,	0,	3621,	567,	1605,	
79278,	3989,	0,	3849,	552,	1708,	
80287,	3616,	0,	3493,	626,	1549,	
81293,	3684,	0,	3546,	631,	1579,	
82303,	3691,	0,	3572,	623,	1578,	
83311,	3800,	0,	3652,	495,	1616,	
84321,	3789,	0,	3650,	501,	1611,	
85328,	3785,	0,	3671,	466,	1614,	
86344,	3920,	0,	3774,	478,	1657,	
87355,	3688,	0,	3535,	556,	1558,	
88364,	3864,	0,	3751,	614,	1656,	
89373,	3952,	0,	3799,	539,	1635,	
90379,	3691,	0,	3551,	631,	1547,	
91388,	3604,	0,	3465,	658,	1529,	
92395,	3755,	0,	3617,	563,	1592,	
93404,	3836,	0,	3700,	569,	1638,	
94410,	3666,	0,	3539,	532,	1564,	
95418,	3844,	0,	3696,	576,	1635,	
96428,	3620,	0,	3480,	583,	1554,	
97437,	3931,	0,	3802,	594,	1700,	
98449,	3882,	0,	3727,	524,	1641,	
99456,	3685,	0,	3553,	697,	1559,	
100466,	3729,	0,	3588,	363,	1589,	
101474,	3634,	0,	3504,	525,	1561,	
102482,	3818,	0,	3678,	575,	1620,	
103489,	3645,	0,	3512,	624,	1541,	
104645,	4085,	0,	3946,	605,	1765,	
105652,	3867,	0,	3720,	501,	1676,	
106660,	3711,	0,	3589,	552,	1564,	
107666,	3530,	0,	3391,	473,	1525,	
108676,	3690,	0,	3560,	463,	1576,	
109684,	3977,	0,	3824,	453,	1670,	
110697,	3760,	0,	3625,	457,	1608,	
111710,	3610,	0,	3474,	435,	1524,	
112752,	3706,	0,	3568,	349,	1573,	
113764,	3601,	0,	3470,	505,	1540,	
114779,	3580,	0,	3437,	485,	1511,	
115791,	3501,	0,	3388,	523,	1498,	
116803,	3691,	0,	3545,	502,	1569,	
117811,	3728,	0,	3599,	549,	1592,	
118818,	3693,	0,	3570,	469,	1559,	
119827,	3711,	0,	3568,	551,	1581,	
120848,	4030,	0,	3896,	565,	1729,	
