Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1835,	4395,	785,	0,	1273,	0,	0,	
3219,	141732,	24842,	0,	34900,	0,	0,	
4247,	239397,	17551,	0,	24417,	0,	0,	
5683,	297486,	8910,	7142,	18868,	2057,	50,	
6702,	311241,	0,	11105,	12526,	3607,	50,	
7801,	327838,	0,	13488,	15501,	4326,	50,	
8856,	349233,	0,	17691,	19976,	5597,	50,	
9909,	370206,	0,	17413,	19609,	5459,	50,	
10927,	385060,	0,	12284,	13228,	3834,	50,	
12016,	401560,	0,	13654,	15557,	4236,	50,	
13036,	416538,	0,	12510,	14350,	3876,	50,	
14118,	432972,	0,	13500,	15805,	4294,	50,	
15314,	450015,	0,	13677,	15516,	4447,	50,	
16329,	469215,	0,	14470,	17420,	4800,	50,	
17428,	486705,	0,	14122,	16260,	4530,	50,	
18439,	502553,	0,	12940,	14981,	4112,	50,	
19455,	518475,	0,	12915,	14909,	4146,	50,	
20491,	532228,	0,	12096,	12785,	3644,	50,	
21528,	548046,	0,	13012,	14690,	4083,	50,	
22621,	564587,	0,	13792,	15633,	4280,	50,	
23638,	581019,	0,	13735,	15863,	4247,	50,	
24667,	596817,	0,	12805,	14305,	4065,	50,	
25704,	610597,	0,	12120,	12762,	3615,	50,	
26731,	625772,	0,	12654,	14263,	3920,	50,	
27809,	641688,	0,	13258,	14886,	4122,	50,	
29119,	664151,	0,	17556,	21399,	5698,	50,	
30285,	687046,	0,	18319,	21468,	6143,	50,	
31294,	702641,	0,	12784,	14481,	3992,	50,	
32316,	718053,	0,	12594,	14366,	4045,	50,	
33379,	732834,	0,	12212,	13886,	3871,	50,	
34410,	747084,	0,	11920,	13885,	3673,	50,	
35428,	759133,	0,	11043,	11284,	3203,	50,	
36439,	778155,	0,	13188,	17187,	4563,	50,	
37472,	794259,	0,	12595,	15024,	4049,	50,	
38505,	808899,	0,	12095,	13983,	3807,	50,	
39529,	823061,	0,	11678,	13186,	3671,	50,	
40617,	835621,	0,	11764,	11751,	3369,	50,	
41639,	851894,	0,	13718,	15095,	4291,	50,	
42672,	867071,	0,	12647,	14407,	4002,	50,	
43702,	881917,	0,	12195,	13976,	3924,	50,	
44722,	895880,	0,	11505,	12876,	3610,	50,	
45739,	909477,	0,	11730,	12756,	3546,	50,	
46811,	925450,	0,	12945,	14891,	4073,	50,	
47843,	939960,	0,	12227,	13903,	3776,	50,	
48870,	955130,	0,	12408,	14701,	3980,	50,	
49886,	969244,	0,	11906,	13252,	3658,	50,	
50903,	981754,	0,	11318,	11538,	3362,	50,	
51929,	997346,	0,	12748,	14610,	4096,	50,	
53010,	1013496,	0,	13223,	15615,	4151,	50,	
54051,	1028587,	0,	12584,	14513,	3908,	50,	
55105,	1042838,	0,	12132,	13814,	3677,	50,	
56127,	1061737,	0,	14652,	17664,	4779,	50,	
57205,	1079527,	0,	14247,	16966,	4594,	50,	
58238,	1095361,	0,	12901,	15282,	4086,	50,	
59272,	1110942,	0,	12804,	14424,	4021,	50,	
60304,	1124651,	0,	11593,	12755,	3606,	50,	
61336,	1142141,	0,	13914,	16201,	4431,	50,	
62413,	1159175,	0,	13886,	16168,	4564,	50,	
63441,	1174684,	0,	12808,	14598,	4037,	50,	
64470,	1191055,	0,	13019,	14716,	4302,	50,	
65495,	1203333,	0,	11125,	11264,	3395,	50,	
66531,	1219147,	0,	13337,	15057,	4134,	50,	
67610,	1235870,	0,	13662,	15618,	4415,	50,	
68888,	1260343,	0,	18370,	23732,	6443,	50,	
70216,	1287774,	0,	21284,	27268,	7353,	50,	
71237,	1304759,	0,	14118,	15869,	4413,	50,	
72265,	1319890,	0,	12255,	14115,	3963,	50,	
73307,	1335939,	0,	13527,	15818,	4188,	50,	
74353,	1352155,	0,	13444,	15593,	4180,	50,	
75408,	1367097,	0,	12792,	14329,	3888,	50,	
76436,	1382609,	0,	13092,	14563,	3963,	50,	
77470,	1398064,	0,	12973,	14876,	3990,	50,	
78485,	1414740,	0,	13344,	15980,	4291,	50,	
79500,	1430737,	0,	13286,	14718,	4100,	50,	
80527,	1443747,	0,	11505,	12020,	3455,	50,	
81606,	1459598,	0,	12880,	14456,	4024,	50,	
82639,	1475082,	0,	12764,	14523,	3996,	50,	
83656,	1488718,	0,	11075,	12739,	3580,	50,	
84694,	1504762,	0,	13086,	15562,	4334,	50,	
85723,	1518813,	0,	12131,	13209,	3677,	50,	
86808,	1534399,	0,	12751,	14744,	3998,	50,	
87840,	1549146,	0,	12296,	14001,	3844,	50,	
88865,	1564553,	0,	12409,	14429,	3987,	50,	
89896,	1579694,	0,	12500,	14069,	3937,	50,	
90914,	1596244,	0,	13720,	15401,	4215,	50,	
91930,	1613795,	0,	14095,	16854,	4433,	50,	
93009,	1629991,	0,	13485,	15119,	4209,	50,	
94039,	1645225,	0,	12348,	14611,	3936,	50,	
95075,	1659652,	0,	12178,	13386,	3732,	50,	
96107,	1674602,	0,	12922,	13732,	3949,	50,	
97136,	1690180,	0,	12582,	14615,	4045,	50,	
98206,	1705547,	0,	12879,	14856,	3941,	50,	
99243,	1721112,	0,	12591,	14353,	4025,	50,	
Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
2265,	5145,	924,	0,	1409,	0,	0,	
3273,	112274,	19390,	0,	27359,	0,	0,	
4336,	212690,	18187,	0,	25915,	0,	0,	
5603,	252393,	6540,	2494,	12508,	819,	50,	
6622,	265885,	0,	11045,	13536,	3642,	50,	
7736,	282571,	0,	13693,	15887,	4319,	50,	
8780,	299492,	0,	13554,	16216,	4459,	50,	
9830,	316794,	0,	14043,	16729,	4565,	50,	
10846,	330064,	0,	11802,	12432,	3570,	50,	
11936,	346586,	0,	13636,	15551,	4317,	50,	
12957,	361896,	0,	12748,	14322,	4008,	50,	
14029,	378323,	0,	13404,	15398,	4225,	50,	
15221,	393708,	0,	13294,	14236,	4143,	50,	
16248,	412974,	0,	14667,	18791,	4820,	50,	
17360,	430320,	0,	14207,	16884,	4481,	50,	
18391,	446417,	0,	13365,	15468,	4131,	50,	
19417,	462313,	0,	13046,	15005,	4171,	50,	
20446,	475765,	0,	11837,	12683,	3584,	50,	
21525,	492015,	0,	13611,	15491,	4200,	50,	
22542,	507618,	0,	12877,	14586,	4049,	50,	
23558,	522980,	0,	12687,	14548,	3935,	50,	
24587,	539333,	0,	12961,	15095,	4135,	50,	
25605,	552735,	0,	11877,	12476,	3532,	50,	
26617,	567834,	0,	12657,	14015,	3907,	50,	
27630,	583605,	0,	13055,	14721,	4055,	50,	
28817,	602867,	0,	15649,	18950,	5003,	50,	
30041,	627742,	0,	19692,	26172,	6477,	50,	
31054,	640587,	0,	12300,	12176,	3506,	50,	
32129,	656670,	0,	13386,	15396,	4161,	50,	
33163,	671395,	0,	11976,	13593,	3794,	50,	
34194,	685781,	0,	11901,	13704,	3817,	50,	
35202,	697518,	0,	10411,	10582,	3228,	50,	
36218,	712557,	0,	12555,	13812,	3815,	50,	
37253,	728073,	0,	12615,	14389,	3926,	50,	
38331,	743625,	0,	12737,	14499,	3978,	50,	
39365,	757986,	0,	11812,	13275,	3656,	50,	
40382,	769001,	0,	10639,	10211,	3017,	50,	
41395,	783450,	0,	12198,	13798,	3737,	50,	
42419,	797942,	0,	12180,	13688,	3734,	50,	
43462,	813527,	0,	12633,	14060,	3993,	50,	
44578,	829087,	0,	12795,	14455,	4000,	50,	
45600,	842945,	0,	11760,	12753,	3595,	50,	
46623,	858111,	0,	12393,	14311,	3880,	50,	
47660,	872853,	0,	12136,	14184,	3811,	50,	
48723,	889518,	0,	12996,	16217,	4314,	50,	
49756,	903896,	0,	12065,	13479,	3764,	50,	
50794,	915512,	0,	11183,	10701,	3171,	50,	
51816,	930936,	0,	12727,	14609,	3983,	50,	
52847,	947002,	0,	12762,	14991,	4231,	50,	
53925,	962826,	0,	12975,	14772,	4110,	50,	
55021,	978672,	0,	12964,	14795,	4051,	50,	
56035,	993644,	0,	13282,	14005,	3975,	50,	
57047,	1010088,	0,	13546,	15160,	4253,	50,	
58126,	1027388,	0,	13996,	15876,	4454,	50,	
59160,	1042665,	0,	12743,	14331,	3939,	50,	
60187,	1054939,	0,	11270,	11896,	3300,	50,	
61223,	1071235,	0,	13505,	15270,	4180,	50,	
62252,	1086984,	0,	13109,	15328,	4050,	50,	
63329,	1103644,	0,	13791,	15703,	4312,	50,	
64348,	1119353,	0,	12851,	14899,	4032,	50,	
65382,	1131272,	0,	10922,	11101,	3197,	50,	
66418,	1147393,	0,	13411,	14971,	4146,	50,	
67449,	1163095,	0,	13160,	14946,	4122,	50,	
68700,	1185204,	0,	18263,	22266,	6039,	50,	
69935,	1212613,	0,	21635,	28166,	7621,	50,	
70964,	1227168,	0,	13829,	13830,	4052,	50,	
71997,	1242147,	0,	12558,	14221,	4025,	50,	
73022,	1258949,	0,	13295,	15031,	4258,	50,	
74050,	1275628,	0,	13273,	15126,	4248,	50,	
75143,	1290584,	0,	12890,	13709,	3904,	50,	
76155,	1305088,	0,	12872,	13613,	3811,	50,	
77183,	1320629,	0,	12855,	14543,	4127,	50,	
78205,	1336360,	0,	12916,	14412,	4183,	50,	
79226,	1352262,	0,	12974,	14611,	4134,	50,	
80248,	1365206,	0,	11573,	11391,	3460,	50,	
81350,	1381200,	0,	13012,	15196,	4082,	50,	
82388,	1396639,	0,	12735,	14517,	4000,	50,	
83416,	1410509,	0,	11325,	13072,	3549,	50,	
84438,	1426666,	0,	12920,	15645,	4157,	50,	
85461,	1440608,	0,	12274,	13085,	3660,	50,	
86532,	1456077,	0,	12547,	14332,	3925,	50,	
87556,	1470892,	0,	12325,	13785,	3844,	50,	
88575,	1485419,	0,	12122,	13974,	3807,	50,	
89587,	1500075,	0,	12162,	13657,	3792,	50,	
90601,	1514559,	0,	12625,	13625,	3784,	50,	
91618,	1533899,	0,	15267,	17814,	4868,	50,	
92649,	1549642,	0,	12966,	14579,	4038,	50,	
93669,	1564384,	0,	12123,	13720,	3805,	50,	
94725,	1579953,	0,	12951,	14651,	4017,	50,	
95751,	1593214,	0,	12194,	12147,	3527,	50,	
96765,	1608568,	0,	12462,	14404,	3877,	50,	
97786,	1624017,	0,	12307,	14444,	4002,	50,	
98810,	1641006,	0,	14504,	15942,	4408,	50,	
99824,	1655599,	0,	12155,	13720,	3747,	50,	
