Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
3291,	13848,	2436,	0,	3032,	0,	0,	
5487,	148908,	26191,	0,	32717,	0,	0,	
7682,	154824,	27236,	0,	34054,	0,	0,	
9854,	155697,	27394,	0,	34234,	0,	0,	
12049,	140149,	24640,	0,	30800,	0,	0,	
14362,	145793,	25646,	0,	32019,	0,	0,	
16677,	143785,	25287,	0,	31618,	0,	0,	
18947,	126871,	22313,	0,	27873,	0,	0,	
21247,	133215,	23432,	0,	29274,	0,	0,	
23614,	165809,	29169,	0,	36490,	0,	0,	
26176,	163548,	28766,	0,	35910,	0,	0,	
28639,	140493,	24706,	0,	30871,	0,	0,	
31021,	141498,	24882,	0,	31084,	0,	0,	
33398,	153108,	26933,	0,	33666,	0,	0,	
35658,	147491,	25942,	0,	32408,	0,	0,	
38226,	163226,	28711,	0,	35858,	0,	0,	
40467,	130103,	22878,	0,	28588,	0,	0,	
42640,	149346,	26268,	0,	32801,	0,	0,	
44837,	152758,	26863,	0,	33582,	0,	0,	
47068,	156209,	27480,	0,	34362,	0,	0,	
49303,	155417,	27332,	0,	34128,	0,	0,	
51521,	153998,	27083,	0,	33847,	0,	0,	
53720,	140106,	24638,	0,	30804,	0,	0,	
55915,	154701,	27207,	0,	34009,	0,	0,	
58127,	156823,	27585,	0,	34449,	0,	0,	
60332,	152161,	26765,	0,	33468,	0,	0,	
62522,	151344,	26617,	0,	33251,	0,	0,	
64770,	154263,	27131,	0,	33921,	0,	0,	
66956,	155400,	27334,	0,	34120,	0,	0,	
69158,	149404,	26272,	0,	32868,	0,	0,	
71336,	152014,	26743,	0,	33390,	0,	0,	
73353,	126724,	22289,	0,	27885,	0,	0,	
75374,	123224,	21666,	0,	27042,	0,	0,	
77410,	123796,	21775,	0,	27214,	0,	0,	
79459,	124619,	21919,	0,	27403,	0,	0,	
81513,	124984,	21980,	0,	27412,	0,	0,	
83549,	123739,	21763,	0,	27231,	0,	0,	
85570,	123089,	21650,	0,	27049,	0,	0,	
87604,	123806,	21770,	0,	27216,	0,	0,	
89625,	121764,	21418,	0,	26762,	0,	0,	
91659,	123777,	21767,	0,	27199,	0,	0,	
93698,	122932,	21627,	0,	27051,	0,	0,	
95718,	122970,	21626,	0,	27020,	0,	0,	
97755,	123755,	21761,	0,	27185,	0,	0,	
99773,	122874,	21606,	0,	26949,	0,	0,	
101808,	123862,	21784,	0,	27303,	0,	0,	
103847,	122026,	21459,	0,	26802,	0,	0,	
105864,	123495,	21722,	0,	27047,	0,	0,	
107996,	129604,	22795,	0,	28522,	0,	0,	
110017,	122971,	21629,	0,	27037,	0,	0,	
112051,	124268,	21860,	0,	27240,	0,	0,	
114103,	124736,	21936,	0,	27457,	0,	0,	
116153,	124513,	21898,	0,	27374,	0,	0,	
118209,	125188,	22011,	0,	27526,	0,	0,	
120257,	124761,	21943,	0,	27442,	0,	0,	
122293,	124196,	21847,	0,	27286,	0,	0,	
124375,	126913,	22312,	0,	27913,	0,	0,	
126394,	123073,	21649,	0,	27006,	0,	0,	
128418,	123196,	21664,	0,	27077,	0,	0,	
130438,	122012,	21456,	0,	26835,	0,	0,	
132474,	124204,	21842,	0,	27292,	0,	0,	
134494,	123224,	21672,	0,	27110,	0,	0,	
136544,	124858,	21959,	0,	27423,	0,	0,	
138566,	123185,	21665,	0,	27056,	0,	0,	
140586,	122924,	21625,	0,	27069,	0,	0,	
142606,	123303,	21686,	0,	27123,	0,	0,	
144642,	124321,	21867,	0,	27326,	0,	0,	
146692,	124707,	21934,	0,	27367,	0,	0,	
148728,	122624,	21569,	0,	27033,	0,	0,	
150766,	123978,	21805,	0,	27223,	0,	0,	
152798,	123891,	21789,	0,	27204,	0,	0,	
154821,	122984,	21631,	0,	27088,	0,	0,	
156843,	123283,	21681,	0,	27091,	0,	0,	
158861,	122919,	21622,	0,	26995,	0,	0,	
160884,	123153,	21656,	0,	27099,	0,	0,	
162902,	123115,	21654,	0,	27029,	0,	0,	
165003,	127873,	22488,	0,	28112,	0,	0,	
167051,	124781,	21944,	0,	27449,	0,	0,	
169074,	123367,	21694,	0,	27125,	0,	0,	
171092,	123025,	21639,	0,	27032,	0,	0,	
173113,	122813,	21600,	0,	27035,	0,	0,	
175149,	123967,	21803,	0,	27153,	0,	0,	
177201,	124612,	21920,	0,	27439,	0,	0,	
179251,	124941,	21974,	0,	27417,	0,	0,	
181324,	126126,	22183,	0,	27659,	0,	0,	
183339,	122791,	21601,	0,	27048,	0,	0,	
185361,	123158,	21664,	0,	27023,	0,	0,	
187379,	122805,	21588,	0,	27022,	0,	0,	
189400,	123197,	21672,	0,	27067,	0,	0,	
191437,	123572,	21734,	0,	27176,	0,	0,	
193456,	122835,	21600,	0,	26979,	0,	0,	
195494,	124250,	21856,	0,	27268,	0,	0,	
197544,	124990,	21978,	0,	27499,	0,	0,	
199596,	124602,	21915,	0,	27401,	0,	0,	
201615,	38712,	4290,	6707,	11505,	2168,	50,	
203650,	45317,	0,	22040,	20448,	7091,	50,	
205666,	43714,	0,	21207,	19715,	6848,	50,	
207684,	45138,	0,	21952,	20335,	7050,	50,	
209724,	45373,	0,	22031,	20466,	7090,	50,	
211740,	44554,	0,	21651,	20105,	6965,	50,	
213747,	44558,	0,	21641,	20068,	6980,	50,	
