Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
185,	101,	0,	0,	1,	0,	
1201,	2089,	298,	0,	937,	0,	
2206,	2481,	398,	0,	1165,	0,	
3218,	2574,	394,	0,	1214,	0,	
4233,	2191,	348,	0,	1130,	0,	
5242,	2090,	340,	0,	1083,	0,	
6242,	1592,	260,	0,	780,	0,	
7251,	1601,	260,	0,	782,	0,	
8254,	1928,	310,	0,	1011,	0,	
9273,	1752,	284,	0,	901,	0,	
10290,	1736,	270,	0,	943,	0,	
11290,	1938,	304,	0,	980,	0,	
12291,	1771,	274,	0,	951,	0,	
13293,	3237,	500,	0,	1609,	0,	
14295,	2143,	332,	0,	1132,	0,	
15317,	2282,	358,	0,	1078,	0,	
16331,	2101,	339,	0,	1139,	0,	
17335,	2160,	350,	0,	1052,	0,	
18368,	2720,	428,	0,	1255,	0,	
19376,	2063,	329,	0,	1033,	0,	
20380,	2195,	345,	0,	1193,	0,	
21405,	1979,	325,	0,	1114,	0,	
22409,	2290,	359,	0,	1307,	0,	
23410,	2173,	342,	0,	1234,	0,	
24426,	2812,	429,	0,	1471,	0,	
25433,	2356,	371,	0,	1184,	0,	
26447,	2435,	413,	0,	1355,	0,	
27460,	1767,	278,	0,	974,	0,	
28463,	1821,	286,	0,	936,	0,	
29479,	2269,	348,	0,	1112,	0,	
30498,	2030,	336,	0,	1019,	0,	
31499,	2567,	402,	0,	1361,	0,	
32499,	3286,	517,	0,	1748,	0,	
33499,	2197,	348,	0,	1066,	0,	
34500,	2311,	351,	0,	1149,	0,	
35501,	2498,	391,	0,	1263,	0,	
36502,	2406,	395,	0,	1259,	0,	
37517,	2477,	390,	0,	1134,	0,	
38518,	2782,	434,	0,	1361,	0,	
39518,	2499,	393,	0,	1310,	0,	
40523,	2656,	425,	0,	1254,	0,	
41535,	1833,	292,	0,	753,	0,	
42536,	2475,	387,	0,	1094,	0,	
43537,	2919,	455,	0,	1219,	0,	
44537,	2381,	385,	0,	1108,	0,	
45553,	1816,	279,	0,	879,	0,	
46553,	1823,	285,	0,	835,	0,	
47554,	2657,	422,	0,	1320,	0,	
48555,	2328,	361,	0,	1108,	0,	
49555,	2567,	396,	0,	1169,	0,	
50555,	2399,	276,	347,	828,	699,	
51559,	2693,	2,	1137,	410,	1944,	
52572,	2871,	0,	1234,	532,	2085,	
53594,	2813,	0,	1179,	501,	2028,	
54610,	2985,	0,	1256,	400,	2102,	
55611,	2595,	0,	1155,	358,	2079,	
56627,	2832,	0,	1171,	441,	2094,	
57627,	1768,	243,	0,	857,	0,	
58642,	1965,	325,	0,	946,	0,	
59643,	1865,	289,	0,	996,	0,	
60644,	1909,	289,	0,	895,	0,	
61659,	1433,	243,	0,	774,	0,	
62660,	1650,	263,	0,	718,	0,	
63660,	2345,	369,	0,	1090,	0,	
64661,	1735,	282,	0,	942,	0,	
65661,	2594,	384,	0,	1295,	0,	
66662,	2233,	348,	0,	1187,	0,	
67677,	2633,	416,	0,	1359,	0,	
68678,	2155,	347,	0,	1056,	0,	
69678,	2034,	308,	0,	884,	0,	
70678,	1662,	280,	0,	764,	0,	
71678,	1855,	287,	0,	863,	0,	
72679,	1550,	242,	0,	687,	0,	
73680,	2239,	321,	0,	1060,	0,	
74698,	2298,	393,	0,	1053,	0,	
75717,	1992,	299,	0,	886,	0,	
