 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked,	Legit Packet
206,	47,	0,	53,	0,	
377,	92,	0,	108,	0,	
529,	136,	0,	164,	0,	
693,	178,	0,	222,	0,	
843,	217,	0,	283,	0,	
1020,	263,	0,	337,	0,	
1180,	305,	0,	395,	0,	
1342,	346,	0,	454,	0,	
1504,	389,	0,	511,	0,	
1663,	430,	0,	570,	0,	
2484,	430,	213,	670,	218,	
3291,	430,	421,	770,	440,	
4273,	430,	679,	870,	698,	
5113,	430,	897,	970,	934,	
6128,	430,	1161,	1070,	1196,	
7078,	430,	1409,	1170,	1457,	
8096,	430,	1673,	1270,	1704,	
9006,	430,	1908,	1370,	1955,	
9898,	430,	2140,	1470,	2187,	
10816,	430,	2377,	1570,	2410,	
11729,	430,	2613,	1670,	2658,	
12662,	430,	2855,	1770,	2900,	
13600,	430,	3097,	1870,	3127,	
14503,	430,	3331,	1970,	3362,	
15407,	430,	3565,	2070,	3588,	
16345,	430,	3809,	2170,	3836,	
17353,	430,	4070,	2270,	4119,	
18276,	430,	4311,	2370,	4360,	
19104,	430,	4526,	2470,	4571,	
19995,	430,	4757,	2570,	4814,	
20887,	430,	4990,	2670,	5051,	
21801,	430,	5227,	2770,	5274,	
22560,	430,	5424,	2870,	5485,	
23469,	430,	5659,	2970,	5702,	
24486,	430,	5923,	3070,	5954,	
25431,	430,	6168,	3170,	6192,	
26308,	430,	6395,	3270,	6410,	
27285,	430,	6648,	3370,	6654,	
27996,	430,	6834,	3470,	6873,	
28843,	430,	7052,	3570,	7071,	
29827,	430,	7307,	3670,	7332,	
30597,	430,	7507,	3770,	7570,	
31457,	430,	7729,	3870,	7788,	
32268,	430,	7938,	3970,	7983,	
33102,	430,	8152,	4070,	8185,	
33945,	430,	8372,	4170,	8429,	
34878,	430,	8613,	4270,	8672,	
35772,	430,	8844,	4370,	8895,	
36691,	430,	9082,	4470,	9107,	
37757,	430,	9357,	4570,	9386,	
38677,	430,	9598,	4670,	9647,	
39541,	430,	9821,	4770,	9860,	
40476,	430,	10063,	4870,	10106,	
41535,	430,	10335,	4970,	10356,	
42531,	430,	10596,	5070,	10603,	
43465,	430,	10838,	5170,	10823,	
44317,	430,	11060,	5270,	11079,	
45245,	430,	11301,	5370,	11330,	
46189,	430,	11547,	5470,	11596,	
47047,	430,	11770,	5570,	11857,	
47885,	430,	11987,	5670,	12074,	
48822,	430,	12231,	5770,	12332,	
49711,	430,	12461,	5870,	12560,	
50601,	430,	12691,	5970,	12770,	
51490,	430,	12922,	6070,	13007,	
52249,	430,	13120,	6170,	13229,	
53035,	430,	13325,	6270,	13438,	
54033,	430,	13583,	6370,	13694,	
54867,	430,	13800,	6470,	13925,	
55829,	430,	14048,	6570,	14151,	
56676,	430,	14270,	6670,	14417,	
57566,	430,	14500,	6770,	14669,	
58404,	430,	14717,	6870,	14890,	
59220,	430,	14929,	6970,	15112,	
60078,	430,	15152,	7070,	15340,	
60890,	430,	15362,	7170,	15557,	
61847,	430,	15612,	7270,	15831,	
62830,	430,	15865,	7370,	16086,	
63750,	430,	16103,	7470,	16308,	
64634,	430,	16332,	7570,	16535,	
65508,	430,	16558,	7670,	16785,	
66318,	430,	16768,	7770,	16989,	
67296,	430,	17020,	7870,	17237,	
68168,	430,	17247,	7970,	17438,	
69031,	430,	17472,	8070,	17677,	
69961,	430,	17712,	8170,	17901,	
70914,	430,	17960,	8270,	18165,	
71862,	430,	18205,	8370,	18414,	
72821,	430,	18454,	8470,	18655,	
73723,	430,	18687,	8570,	18878,	
74557,	430,	18902,	8670,	19085,	
75503,	430,	19147,	8770,	19322,	
76345,	430,	19365,	8870,	19530,	
77377,	430,	19633,	8970,	19772,	
78344,	430,	19883,	9070,	20008,	
79398,	430,	20157,	9170,	20270,	
80255,	430,	20382,	9270,	20511,	
81206,	430,	20627,	9370,	20720,	
82166,	430,	20874,	9470,	20959,	
82976,	430,	21084,	9570,	21195,	
