Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
504,	12834,	2000,	0,	2453,	0,	
1004,	55735,	8767,	0,	10730,	0,	
1504,	53892,	8311,	432,	10695,	0,	
2007,	53396,	8223,	432,	10605,	0,	
2508,	50930,	7858,	900,	10520,	227,	
3011,	48811,	7502,	858,	10065,	224,	
3513,	50397,	7732,	1145,	10076,	742,	
4015,	47802,	7220,	1136,	9610,	716,	
4517,	46927,	7236,	1292,	9903,	733,	
5018,	47915,	7174,	1320,	9578,	702,	
5519,	44600,	6599,	2151,	9163,	1416,	
6020,	43446,	6366,	2064,	8986,	1357,	
6521,	45024,	6623,	2220,	9186,	1708,	
7023,	42689,	6224,	2230,	8523,	1670,	
7525,	44544,	6511,	2390,	8795,	2014,	
8027,	42335,	6137,	2356,	8283,	1998,	
8528,	44891,	6567,	2307,	8931,	2051,	
9030,	42079,	6089,	2280,	8237,	1985,	
9531,	43370,	6330,	2575,	8511,	2313,	
10032,	40917,	5884,	2585,	7993,	2239,	
10533,	38625,	5273,	3417,	8148,	2585,	
11037,	37725,	5094,	3437,	7786,	2588,	
11538,	38023,	5154,	3632,	8144,	2600,	
12039,	36944,	4954,	3522,	7798,	2524,	
12540,	36478,	4891,	4022,	8005,	2949,	
13041,	34677,	4560,	3959,	7493,	2878,	
13542,	35534,	4740,	4058,	7533,	3088,	
14043,	33151,	4313,	4024,	6917,	3146,	
14544,	34416,	4531,	4201,	7572,	3260,	
15048,	32400,	4204,	4181,	6830,	3281,	
15549,	34237,	4494,	4216,	7450,	3294,	
16052,	32839,	4151,	4278,	6863,	3346,	
16553,	34078,	4552,	4245,	7448,	3327,	
17054,	32719,	4275,	4186,	6924,	3242,	
17555,	33015,	4305,	4260,	7145,	3342,	
18056,	31608,	4089,	4225,	6781,	3378,	
18557,	33467,	4371,	4285,	7190,	3363,	
19058,	32073,	4138,	4369,	6882,	3382,	
19559,	31784,	4040,	4707,	7237,	3486,	
20060,	30112,	3754,	4843,	6733,	3524,	
20561,	30544,	3677,	4986,	7135,	3439,	
21062,	28967,	3451,	4830,	6647,	3497,	
21563,	29359,	3469,	5392,	6829,	4028,	
22064,	26671,	3062,	5205,	6127,	3770,	
22565,	29098,	3450,	5299,	6658,	3903,	
23067,	27355,	3151,	5353,	6149,	3963,	
23567,	26962,	3019,	5632,	6686,	4081,	
24068,	25331,	2736,	5750,	5924,	4146,	
24569,	26880,	2945,	5899,	6353,	4421,	
25071,	24319,	2578,	5813,	5663,	4283,	
25572,	27519,	0,	8647,	2808,	7873,	
26074,	25525,	0,	8355,	2514,	7500,	
26575,	28223,	0,	8881,	2839,	7855,	
27076,	25990,	0,	8433,	2509,	7667,	
27577,	27775,	0,	8720,	2798,	8027,	
28079,	25456,	0,	8323,	2474,	7513,	
28580,	27842,	0,	8771,	2822,	7896,	
29081,	26007,	0,	8504,	2542,	7515,	
29582,	27490,	0,	8628,	2731,	7775,	
30083,	25830,	0,	8413,	2585,	7596,	
30584,	27176,	0,	8624,	2746,	7744,	
31089,	25470,	0,	8379,	2460,	7458,	
31591,	27928,	0,	8719,	2698,	7867,	
32092,	26459,	0,	8515,	2561,	7559,	
32593,	27829,	0,	8806,	2729,	7962,	
33094,	26068,	0,	8505,	2547,	7595,	
33595,	27535,	0,	8743,	2779,	7862,	
34096,	26104,	0,	8472,	2542,	7681,	
34597,	27271,	0,	8661,	2737,	7812,	
35098,	26297,	0,	8393,	2648,	7476,	
35600,	27780,	0,	8819,	2662,	7980,	
36101,	26155,	0,	8514,	2534,	7612,	
36602,	27987,	0,	8823,	2750,	8021,	
37103,	26781,	0,	8730,	2672,	7902,	
37604,	27866,	0,	8808,	2735,	8051,	
38105,	25186,	0,	8215,	2507,	7324,	
38606,	27479,	0,	8767,	2726,	7926,	
39107,	26163,	0,	8365,	2534,	7552,	
39608,	28142,	0,	8893,	2624,	7885,	
40109,	26534,	0,	8515,	2547,	7728,	
40610,	26805,	0,	8528,	2806,	7699,	
41111,	25868,	0,	8431,	2589,	7547,	
41613,	27476,	0,	8690,	2840,	7762,	
42115,	26130,	0,	8504,	2595,	7558,	
42616,	27695,	0,	8677,	2784,	7988,	
43117,	25750,	0,	8369,	2632,	7475,	
43618,	27126,	0,	8655,	2760,	7736,	
44119,	25898,	0,	8511,	2574,	7633,	
44620,	27073,	0,	8696,	2753,	7879,	
45121,	25855,	0,	8460,	2584,	7663,	
45622,	27001,	0,	8608,	2682,	7734,	
46123,	25658,	0,	8375,	2580,	7499,	
46624,	27630,	0,	8689,	2743,	7803,	
47125,	26130,	0,	8448,	2587,	7681,	
47626,	27583,	0,	8746,	2769,	7859,	
48127,	25393,	0,	8229,	2524,	7489,	
48628,	28079,	0,	8741,	2750,	7863,	
49129,	25838,	0,	8367,	2612,	7497,	
49630,	27987,	0,	8732,	2763,	7798,	
