Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
301,	4203,	630,	0,	816,	0,	
1317,	74055,	11044,	0,	12789,	0,	
2332,	75274,	11224,	0,	12993,	0,	
3332,	73097,	10897,	0,	12628,	0,	
4342,	72140,	10756,	0,	12457,	0,	
5359,	76183,	11358,	0,	13151,	0,	
6374,	74169,	11054,	0,	12794,	0,	
7391,	67477,	10066,	0,	11637,	0,	
8408,	70087,	10449,	0,	12071,	0,	
9426,	73685,	10987,	0,	12732,	0,	
10428,	73582,	10977,	0,	12708,	0,	
11614,	88507,	13198,	0,	15299,	0,	
12641,	74755,	11146,	0,	12834,	0,	
13647,	74578,	11121,	0,	12880,	0,	
14656,	73696,	10989,	0,	12734,	0,	
15660,	75274,	11224,	0,	12993,	0,	
16661,	73062,	10895,	0,	12615,	0,	
17677,	76348,	11385,	0,	13183,	0,	
18684,	75663,	11281,	0,	13021,	0,	
19691,	74580,	11120,	0,	12837,	0,	
20705,	73371,	10941,	0,	12643,	0,	
21906,	81887,	12215,	0,	14030,	0,	
23060,	64036,	9587,	0,	10856,	0,	
24544,	110952,	16553,	0,	19127,	0,	
25635,	60054,	8951,	0,	10010,	0,	
26641,	74174,	11061,	0,	12769,	0,	
28030,	80910,	12036,	0,	14317,	0,	
29044,	63138,	9386,	0,	11139,	0,	
30062,	75639,	11281,	0,	13048,	0,	
31064,	73711,	10990,	0,	12737,	0,	
32532,	107595,	16043,	0,	18553,	0,	
33569,	76676,	11435,	0,	13299,	0,	
34587,	75719,	11290,	0,	13091,	0,	
35590,	74007,	11036,	0,	12783,	0,	
36592,	74805,	11153,	0,	12891,	0,	
37610,	75294,	11228,	0,	13003,	0,	
38628,	75151,	11205,	0,	13011,	0,	
39651,	75170,	11208,	0,	12972,	0,	
40656,	77219,	11516,	0,	13301,	0,	
41673,	75204,	11215,	0,	12985,	0,	
42675,	73129,	10904,	0,	12563,	0,	
43675,	72760,	10853,	0,	12474,	0,	
44678,	73328,	10933,	0,	12619,	0,	
45688,	74376,	11090,	0,	12796,	0,	
46697,	76317,	11379,	0,	13195,	0,	
47708,	72828,	10860,	0,	12567,	0,	
48718,	76578,	11418,	0,	13230,	0,	
49736,	74204,	11064,	0,	12822,	0,	
50800,	57694,	7931,	2744,	11697,	684,	
51822,	52776,	6963,	3676,	11372,	921,	
52825,	54600,	7200,	3840,	11820,	960,	
54232,	72640,	9577,	5121,	15741,	1279,	
55248,	55405,	7306,	3903,	12008,	975,	
56250,	55731,	7352,	3925,	12077,	982,	
57252,	55510,	7320,	3904,	12017,	976,	
58254,	54635,	7205,	3840,	11826,	960,	
59254,	54600,	7200,	3840,	11820,	960,	
60269,	55594,	7332,	3904,	12047,	976,	
61271,	54600,	7200,	3840,	11820,	960,	
62287,	55510,	7320,	3904,	12017,	976,	
63665,	76054,	10028,	5348,	16455,	1344,	
64669,	54753,	7221,	3846,	11850,	963,	
65690,	56436,	7441,	3983,	12232,	993,	
67120,	79075,	10432,	5547,	17113,	1394,	
68120,	54490,	7185,	3835,	11799,	961,	
69141,	56653,	7472,	3983,	12269,	999,	
70156,	56001,	7387,	3935,	12119,	986,	
71171,	56102,	7400,	3943,	12166,	988,	
72185,	55565,	7327,	3910,	12032,	978,	
73201,	55510,	7320,	3904,	12017,	976,	
74215,	55510,	7320,	3904,	12017,	976,	
75236,	55660,	7341,	3910,	12065,	979,	
76252,	56133,	7400,	3947,	12148,	990,	
77267,	55947,	7378,	3923,	12070,	982,	
78705,	78298,	10329,	5502,	16976,	1378,	
79735,	56891,	7501,	3998,	12309,	1000,	
80769,	58048,	7654,	4084,	12571,	1024,	
81779,	56415,	7440,	3963,	12182,	992,	
82794,	56312,	7426,	3958,	12176,	985,	
83809,	56462,	7446,	3968,	12254,	992,	
84830,	56471,	7445,	3973,	12170,	993,	
85844,	58235,	7679,	4096,	12600,	1024,	
86845,	54600,	7200,	3840,	11820,	960,	
87847,	54600,	7200,	3840,	11820,	960,	
88861,	55510,	7320,	3904,	12017,	976,	
89876,	56063,	7394,	3948,	12134,	988,	
90876,	55510,	7320,	3904,	12017,	976,	
91891,	56164,	7406,	3949,	12157,	987,	
93159,	69996,	9227,	4927,	15115,	1236,	
94175,	55510,	7320,	3904,	12017,	976,	
95218,	54785,	7221,	3860,	11865,	968,	
96230,	57849,	7629,	4061,	12508,	1012,	
97265,	56153,	7407,	3945,	12149,	989,	
98276,	56079,	7395,	3936,	12090,	981,	
99276,	55343,	7295,	3900,	11946,	976,	
100291,	44897,	5291,	4555,	9590,	1244,	
101306,	42098,	0,	11408,	9362,	3844,	
102326,	41419,	0,	11224,	9211,	3782,	
103673,	55126,	0,	14935,	12254,	5034,	
104684,	41344,	0,	11214,	9196,	3785,	
105686,	42476,	0,	11492,	9459,	3883,	
106728,	43037,	0,	11671,	9572,	3937,	
107737,	41579,	0,	11248,	9234,	3806,	
108753,	41428,	0,	11227,	9219,	3783,	
109764,	41419,	0,	11224,	9216,	3782,	
110777,	41419,	0,	11224,	9211,	3782,	
111791,	41007,	0,	11109,	9078,	3752,	
112800,	40264,	0,	10903,	8973,	3686,	
113809,	39601,	0,	10730,	8800,	3616,	
114825,	41446,	0,	11243,	9215,	3776,	
115840,	41555,	0,	11271,	9246,	3801,	
116855,	41730,	0,	11311,	9278,	3810,	
117870,	41419,	0,	11224,	9211,	3782,	
118986,	45493,	0,	12328,	10117,	4154,	
120470,	59716,	0,	16179,	13280,	5449,	
121486,	41132,	0,	11140,	9157,	3760,	
122524,	40287,	0,	10881,	8938,	3655,	
123533,	41489,	0,	11243,	9235,	3784,	
124539,	40792,	0,	11056,	9064,	3724,	
125554,	41782,	0,	11303,	9267,	3812,	
126555,	41291,	0,	11207,	9187,	3772,	
127566,	41638,	0,	11279,	9210,	3796,	
128580,	41849,	0,	11344,	9304,	3818,	
129583,	41841,	0,	11327,	9311,	3815,	
130586,	41147,	0,	11154,	9144,	3757,	
131619,	42133,	0,	11413,	9365,	3845,	
132621,	40756,	0,	11032,	9050,	3718,	
133640,	41253,	0,	11188,	9175,	3769,	
134662,	41801,	0,	11331,	9287,	3815,	
135669,	40740,	0,	11040,	9060,	3720,	
136676,	41850,	0,	11346,	9332,	3831,	
137677,	40740,	0,	11040,	9060,	3720,	
138702,	41419,	0,	11224,	9211,	3782,	
139734,	41688,	0,	11303,	9264,	3804,	
140765,	42098,	0,	11408,	9362,	3844,	
141774,	40611,	0,	11007,	9025,	3705,	
142801,	40793,	0,	11051,	9104,	3723,	
143811,	41266,	0,	11188,	9191,	3770,	
144816,	40384,	0,	10948,	9013,	3692,	
